H,7.851491052e-01
He,1.999873651e-01
Li,8.929178471e-09
Be,1.466888168e-10
B,5.036495825e-09
C,2.294817986e-03
N,7.902970904e-04
O,6.691892029e-03
F,4.076468573e-07
Ne,1.747562852e-03
Na,3.492220133e-05
Mg,6.478992495e-04
Al,6.062248114e-05
Si,7.385280611e-04
P,6.800814919e-06
S,3.600292370e-04
Cl,4.844493558e-06
Ar,8.860899194e-05
K,3.910454727e-06
Ca,6.356537832e-05
Sc,4.114847768e-08
Ti,3.047034300e-06
V,3.802574780e-07
Cr,1.738073221e-05
Mn,1.353443666e-05
Fe,1.211922323e-03
Co,3.646926227e-06
Ni,7.490495958e-05
Cu,9.128973566e-07
Zn,2.224671416e-06
Ga,6.760010713e-08
Ge,2.119311573e-07
As,1.219478123e-08
Se,1.319299821e-07
Br,2.232260783e-08
Kr,1.156692668e-07
Rb,1.586846776e-08
Sr,5.192761970e-08
Y,1.097734437e-08
Zr,2.602252230e-08
Nb,1.903761285e-09
Mo,6.236123067e-09
Ru,4.502150125e-09
Rh,1.009265770e-09
Pd,3.713344018e-09
Ag,1.382182476e-09
Cd,4.430874514e-09
In,5.300008405e-10
Sn,1.072545713e-08
Sb,1.009269121e-09
Te,1.480474351e-08
I,3.673194443e-09
Xe,1.797458825e-08
Cs,1.303496279e-09
Ba,1.531783119e-08
La,1.664001402e-09
Ce,4.215113150e-09
Pr,6.464003781e-10
Nd,3.262669266e-09
Sm,1.022501698e-09
Eu,3.983945457e-10
Gd,1.456067057e-09
Tb,2.708695501e-10
Dy,1.676798039e-09
Ho,3.970704076e-10
Er,1.124322914e-09
Tm,1.816705892e-10
Yb,1.139476425e-09
Lu,1.755731294e-10
Hf,7.277238183e-10
Ta,1.015576736e-10
W,6.557086454e-10
Re,2.745543193e-10
Os,3.359484773e-09
Ir,3.408087600e-09
Pt,6.459948349e-09
Au,1.013816887e-09
Hg,2.364543730e-09
Tl,9.749983172e-10
Pb,1.824482802e-08
Bi,7.615046421e-10
Th,2.154554041e-10
U,5.506287092e-11
