x, y
1.0331580125392519, -0.05770504913030112
1.2160475624691354, 0.029541299760164227
1.3892182533257744, 0.35288323700637053
1.624598980963745, 0.9535376964372041
1.8224563554760638, 1.4641974150468196
2.061579166144325, 2.044700727457302
2.2837075500953414, 2.7110773109344235
2.5293791329512922, 3.2753228452028624
2.7998932138519503, 3.9600190598408673
3.079138483464135, 4.6444849373195005
3.3144156732019048, 5.160641439790621
3.641163522379667, 5.926859118581316
4.028926662176641, 6.6864372728460495
4.381659986611129, 7.348462049409221
4.824512902395735, 8.196203428635705
5.206455080538783, 8.840367012073637
5.601078621301502, 9.577045627387268
6.005107869743232, 10.219149594089458
6.3912595740836515, 10.857816393665885
6.798668015366243, 11.504728369034568
7.1843517690008545, 12.132864511489826
7.589837653587564, 12.704436109196138
7.998960560688182, 13.342646707020023
