#Bourrier et al. (2020)
#https://academic.oup.com/mnras/article/493/1/559/5717312
#cm,ergs/s/cm2
Wavelength,Flux
6.208000000000001e-08,0.005849600000000342
6.224000000000002e-08,0.005729600000000334
6.240000000000003e-08,0.005572800000000325
6.256000000000001e-08,0.005359999999999427
6.272000000000002e-08,0.005142400000000301
6.288000000000003e-08,0.004888000000000285
6.304000000000001e-08,0.004635199999999505
6.320000000000001e-08,0.004406399999999893
6.336000000000002e-08,0.004238400000000249
6.352000000000003e-08,0.004046400000000237
6.368000000000001e-08,0.0039007999999995826
6.384000000000002e-08,0.0037936000000002223
6.400000000000003e-08,0.003707200000000217
6.416000000000001e-08,0.0036575999999996093
6.432000000000001e-08,0.0036239999999999124
6.448000000000002e-08,0.0036064000000002113
6.464000000000003e-08,0.003624000000000212
6.480000000000001e-08,0.0036575999999996093
6.496000000000002e-08,0.003716800000000218
6.512e-08,0.0037855999999995955
6.528000000000001e-08,0.003864000000000226
6.544000000000001e-08,0.0039551999999999045
6.56e-08,0.004075199999999901
6.576000000000001e-08,0.004217600000000247
6.592000000000001e-08,0.004316799999999895
6.608000000000002e-08,0.00443680000000026
6.624e-08,0.0045407999999995145
6.640000000000001e-08,0.004625600000000271
6.656000000000002e-08,0.004678400000000273
6.672e-08,0.004700799999999498
6.688000000000001e-08,0.004700800000000276
6.704000000000001e-08,0.004667199999999887
6.72e-08,0.004603199999999889
6.736000000000003e-08,0.004508800000000636
6.752000000000001e-08,0.004396799999999529
6.768000000000002e-08,0.004257600000000249
6.784000000000003e-08,0.004150400000000243
6.800000000000001e-08,0.004009599999999571
6.816000000000001e-08,0.0038639999999999066
6.832e-08,0.003759999999999909
6.848000000000001e-08,0.0036576000000002142
6.864000000000001e-08,0.0035567999999999143
6.880000000000002e-08,0.003468800000000203
6.896000000000003e-08,0.003396800000000199
6.912000000000001e-08,0.003350399999999642
6.928000000000002e-08,0.003312000000000194
6.944000000000003e-08,0.003281600000000192
6.960000000000001e-08,0.0032735999999996502
6.976000000000001e-08,0.003273599999999921
6.992000000000002e-08,0.0032896000000001927
7.008000000000003e-08,0.0033040000000001935
7.024000000000001e-08,0.0033279999999996446
7.040000000000002e-08,0.0033504000000001964
7.056000000000003e-08,0.003380800000000198
7.072000000000001e-08,0.0034127999999996354
7.088000000000001e-08,0.003436799999999917
7.104000000000002e-08,0.003460800000000203
7.120000000000003e-08,0.0034768000000002038
7.136000000000001e-08,0.0034767999999996287
7.152000000000002e-08,0.003468800000000203
7.168000000000003e-08,0.0034448000000002017
7.184000000000001e-08,0.0034207999999996343
7.200000000000001e-08,0.0033807999999999182
7.216000000000003e-08,0.0033344000000004714
7.232000000000001e-08,0.0032895999999996484
7.248000000000001e-08,0.003244799999999922
7.264000000000002e-08,0.0032000000000001875
7.280000000000003e-08,0.0031632000000001853
7.296000000000001e-08,0.0031263999999996657
7.312000000000002e-08,0.0030976000000001815
7.328000000000003e-08,0.003084800000000181
7.344000000000001e-08,0.003062399999999673
7.360000000000001e-08,0.0030559999999999264
7.376000000000002e-08,0.0030480000000001786
7.392000000000003e-08,0.003041600000000178
7.408000000000001e-08,0.003041599999999675
7.424000000000002e-08,0.003035200000000178
7.440000000000003e-08,0.0030272000000001772
7.456000000000001e-08,0.003020799999999677
7.472000000000002e-08,0.0030064000000001763
7.488000000000003e-08,0.0029936000000001755
7.504000000000003e-08,0.002979199999999928
7.520000000000001e-08,0.0029583999999996838
7.536000000000002e-08,0.0029456000000001726
7.552e-08,0.0029247999999996873
7.568000000000001e-08,0.0029056000000001704
7.584000000000002e-08,0.0028912000000001696
7.6e-08,0.002878399999999692
7.616000000000001e-08,0.002872000000000168
7.632000000000001e-08,0.0028655999999999304
7.648000000000002e-08,0.0028576000000001666
7.664000000000003e-08,0.0028656000000001672
7.680000000000001e-08,0.0028719999999996925
7.696000000000002e-08,0.002878400000000168
7.712000000000003e-08,0.002884800000000169
7.728000000000001e-08,0.0028975999999996905
7.744000000000001e-08,0.00291199999999993
7.760000000000002e-08,0.002931200000000172
7.776000000000003e-08,0.002952000000000173
7.792000000000001e-08,0.0029727999999996824
7.808000000000002e-08,0.0030000000000001757
7.824000000000003e-08,0.003020800000000177
7.840000000000001e-08,0.003041599999999675
7.856000000000002e-08,0.0030560000000001792
7.872000000000003e-08,0.0030624000000001794
7.888000000000003e-08,0.003062399999999926
7.904000000000001e-08,0.0030559999999996736
7.920000000000002e-08,0.0030624000000001794
7.936000000000003e-08,0.0030624000000001794
7.952000000000001e-08,0.0030559999999996736
7.968000000000002e-08,0.003041600000000178
7.984000000000003e-08,0.0030272000000001772
8.000000000000001e-08,0.0029999999999996796
8.016000000000001e-08,0.0029727999999999283
8.032000000000002e-08,0.002931200000000172
8.048000000000003e-08,0.0028976000000001697
8.064000000000001e-08,0.0028655999999996932
8.080000000000002e-08,0.0028384000000001657
8.096000000000003e-08,0.0028192000000001644
8.112000000000001e-08,0.0028063999999996996
8.128000000000001e-08,0.002793599999999932
8.144000000000003e-08,0.002793600000000394
8.160000000000003e-08,0.0028191999999999315
8.176000000000001e-08,0.002857599999999694
8.192000000000002e-08,0.002918400000000171
8.208000000000003e-08,0.002985600000000175
8.224000000000001e-08,0.003076799999999671
8.240000000000002e-08,0.0031856000000001867
8.256000000000003e-08,0.003281600000000192
8.272000000000003e-08,0.003396799999999918
8.288000000000001e-08,0.003516799999999624
8.304000000000002e-08,0.0036400000000002134
8.320000000000003e-08,0.0037600000000002198
8.336000000000001e-08,0.0038735999999995863
8.352000000000002e-08,0.003972800000000233
