x, y
1.0510277518982558, 961752157039705.2
1.0714909843752425, 120059637911214.61
1.085621746439375, 21426444200707.582
1.0960629117391492, 5213670795307.08
1.102290863168999, 860219855773.3574
1.1091469506874199, 227752585000.4608
1.127307698966674, 57736573902.631256
1.1588139114255285, 16698675708.736338
1.2058119326562982, 5712242598.002409
1.2588283562556368, 2947950158.0998325
1.3235158959254143, 1550172904.163601
1.3953996570167408, 957488338.3193303
1.4620758683876012, 632161139.0558727
1.5315781810617608, 403595105.3909143
1.6041161441005007, 269773952.70958734
1.686833336112414, 173942604.796901
1.7907469267681613, 128841417.82612889
1.880634274342781, 91738470.3401464
2.005534459033446, 64519317.42820082
2.147077694594893, 47018063.98799394
2.310915928086084, 33231270.20095342
2.4904813297216783, 22125156.006404396
2.6643682073441965, 16412646.952243412
2.8279708259152647, 13551725.466291
3.0525716429393883, 9634913.811814414
3.2617593598633943, 7730888.882622328
3.4328459464938192, 6308108.158487516
3.6549086644000868, 4935662.252484484
3.8687018608148303, 3991686.998717778
4.113163840086211, 3299146.883559532
4.362519556581409, 2764708.873363389
4.617632250213846, 2203071.869773197
4.806146674504313, 1949214.5332544884
4.991443242965939, 1697577.554799853
