14621433037.48772, 999.4787585865831
14621433037.48772, 1078.2290708620667
14486577521.064827, 1904.3535134282317
14621433037.48772, 2764.9329304352655
14757543923.599031, 4303.425705673229
14757543923.599031, 6327.708146599213
14757543923.599031, 7894.307801492004
14894921865.632322, 8624.53282069313
15033578658.608284, 9187.089488634918
15173526207.347244, 9724.68460919719
15457341746.537563, 10293.606944636871
15601234104.875652, 10895.951449201497
16190323749.413136, 11606.224282671683
16958063514.99773, 12362.640359300793
18094445201.40479, 13085.058770550724
19486705895.472958, 13675.556842613054
20792535165.921795, 14202.836714517738
22185869738.329277, 14657.516111517049
23892941386.92529, 15031.258879243165
25258903104.832245, 15317.80672274739
26456671886.283115, 15511.669749571585
27969202319.211052, 15707.786568162874
30121267254.05938, 16006.824264685427
32740894714.66408, 16311.347479976943
35919641372.585724, 16516.734604435725
39043549743.407074, 16724.92057746582
41659908318.87109, 16936.161373153525
44451592453.62465, 17042.021667817527
49221281604.61147, 17256.389758795907
53502025168.62006, 17363.810036371073
61479792686.88489, 17581.33152101996
73314714362.69734, 17800.672486961637
84246781793.98102, 18023.666674239772
96808946257.77756, 18134.479519743934
111244273976.65656, 18245.973663174314
127832075143.56357, 18474.546267445196
170368119591.55576, 18702.17665432628
227058006690.1462, 18932.611742999885
268269579527.97162, 19048.286253783226
360864420140.798, 19282.740651004307
480941834182.37494, 19520.329041591758
635063132731.345, 19636.59764994529
838573719086.4058, 19878.798805535807
990776860511.7473, 20000.2543320107
