14677992676.220736, 1008.6612072810937
14669762025.42237, 1329.2158325925477
14791114993.187634, 2308.3192861839743
14779193710.25224, 3432.2627290655873
14766246691.609241, 5282.5843687711
14756414543.487324, 7331.089800444448
14746071986.484276, 10350.975327554665
14878484328.622381, 12731.187486765297
14872226582.898438, 15658.730669727118
15005771730.138676, 19259.463929970905
15002089826.569756, 21730.946954558272
14998408826.414146, 24519.584618705318
15274863761.100245, 30682.545418744543
15412564690.630707, 37092.69508698503
15552597379.26271, 43321.563268362326
15840933173.235611, 51476.67498331916
15984297490.302477, 61166.95399294274
16432588400.571268, 75232.3268712176
17052916530.279343, 90949.74759211646
17694800913.765633, 115789.82884692152
18534162252.872543, 144893.42857439962
19234498812.761375, 172169.0393243531
19961298467.68656, 204579.17514630518
21105533463.19629, 251622.26285498275
21701256576.491947, 283911.8506397492
31792845921.312344, 720572.8633211978
34577450812.627655, 827185.6587069693
36912387163.8088, 901687.7712316994
39404996438.69982, 982900.0638861548
43259341088.153946, 1128325.6394660727
46183783654.27755, 1188246.0165261948
52145068169.325745, 1364053.6771754916
67738637104.92627, 1706906.5220466377
82429090715.59032, 1959452.9126209933
107093872649.98032, 2288498.1295217862
141778138170.585, 2582171.1154095856
187688943398.24948, 2964217.81018707
246169089350.12213, 3287410.4593189307
308118922412.88403, 3583497.5848355936
404122657246.6693, 3974211.1395617053
487234338970.6626, 4332156.326836232
535005005601.4364, 4484204.32541916
609828216325.4896, 4804497.149737895
695091471221.889, 5237223.688824724
799726422594.1815, 5708924.599587522
903016372161.1714, 6331376.316426204
973060459373.3105, 6901624.247827897
22946839440.837345, 337357.1255672627
24263914786.112698, 400863.26060202805
25659284489.522324, 452304.2948572392
26633520716.203045, 493041.9758314822
27902762934.067154, 556311.9026636742
29233516736.778122, 616967.3366022862
30629885057.975285, 661035.4022862205
