Mp (Mj), Rp (Rj), Mdots (g/s), Rsp (Rp), RXUV (Rp), cond
1.01327e+30,9.59910e+09,4.80e+11,0.37,2.37,1.09,0
1.13332e+30,1.36811e+10,2.05e+12,0.36,1.89,1.11,0
2.34499e+30,1.36811e+10,6.58e+11,0.30,2.79,1.42,0
4.80614e+29,2.20046e+09,5.33e+09,0.30,10.88,1.42,0
2.53491e+29,8.06834e+09,1.93e+12,0.33,2.24,1.40,0
6.91340e+28,2.20046e+09,2.48e+11,0.33,2.57,1.43,0
9.89380e+29,5.77221e+09,1.14e+11,0.30,4.45,1.42,0
1.04020e+30,9.85422e+09,5.04e+11,0.37,2.35,1.09,0
8.06457e+29,1.24055e+10,2.01e+12,0.35,1.92,1.15,0
6.45891e+29,1.26606e+10,2.83e+12,0.32,1.80,1.21,0
1.95143e+30,1.13850e+10,4.49e+11,0.30,3.07,1.42,0
1.80022e+29,4.49659e+09,6.04e+11,0.33,2.07,1.29,0
3.12803e+29,7.81322e+09,1.48e+12,0.33,1.97,1.28,0
8.70678e+29,3.98634e+09,1.95e+10,0.30,7.37,1.42,0
1.78416e+29,1.69021e+09,2.22e+10,0.37,4.08,1.09,0
1.25274e+29,2.45558e+09,1.88e+11,0.33,2.04,1.21,0
9.85380e+29,1.18952e+10,1.62e+12,0.36,1.93,1.11,0
1.03311e+30,6.02734e+09,1.25e+11,0.30,4.34,1.42,0
1.14930e+30,5.26196e+09,3.56e+10,0.30,6.16,1.42,0
9.92427e+28,1.94533e+09,1.30e+11,0.33,2.12,1.22,0
5.47725e+29,1.36811e+10,3.97e+12,0.32,1.94,1.30,0
3.09600e+29,9.85422e+09,2.75e+12,0.33,2.26,1.41,0
4.64626e+29,2.71071e+09,2.59e+10,0.30,6.84,1.42,0
1.07684e+30,6.28246e+09,1.35e+11,0.30,4.25,1.42,0
2.68443e+29,5.26196e+09,6.45e+11,0.33,1.90,1.20,0
8.14955e+29,3.73121e+09,1.69e+10,0.30,7.69,1.42,0
9.48011e+29,7.04784e+09,3.21e+11,0.30,3.02,1.42,0
3.17615e+29,1.01093e+10,2.88e+12,0.33,2.26,1.41,0
4.41582e+29,6.79272e+09,7.41e+11,0.36,1.99,1.15,0
6.68341e+28,2.71071e+09,4.73e+11,0.33,3.05,1.64,0
7.73287e+29,1.18952e+10,1.87e+12,0.35,1.93,1.15,0
9.21978e+29,1.11298e+10,1.44e+12,0.36,1.95,1.11,0
7.17031e+29,6.79272e+09,2.58e+11,0.38,2.64,1.09,0
1.15445e+30,1.39362e+10,2.12e+12,0.36,1.88,1.11,0
2.61734e+29,6.53759e+09,1.10e+12,0.33,1.99,1.28,0
3.53659e+29,8.83372e+09,1.80e+12,0.32,1.93,1.27,0
5.24508e+29,8.06834e+09,9.84e+11,0.35,1.97,1.15,0
2.87953e+29,3.47608e+09,2.10e+11,0.38,2.22,1.12,0
3.42071e+29,5.26196e+09,4.89e+11,0.36,2.04,1.16,0
2.30126e+30,1.34260e+10,6.33e+11,0.30,2.81,1.42,0
5.01585e+29,4.75171e+09,1.36e+11,0.38,2.96,1.09,0
1.22871e+30,1.16401e+10,6.87e+11,0.37,2.23,1.09,0
3.81740e+29,1.21504e+10,4.01e+12,0.33,2.26,1.41,0
7.78817e+28,1.94533e+09,1.58e+11,0.33,2.27,1.30,0
5.55446e+29,5.26196e+09,1.64e+11,0.38,2.87,1.09,0
2.30381e+29,9.34397e+09,3.77e+12,0.33,2.95,1.64,0
4.20793e+29,3.98634e+09,1.03e+11,0.38,3.10,1.10,0
1.33922e+30,7.81322e+09,2.09e+11,0.30,3.77,1.42,0
9.01921e+29,5.26196e+09,9.54e+10,0.30,4.69,1.42,0
2.69522e+29,8.57859e+09,2.14e+12,0.33,2.25,1.40,0
3.63873e+29,9.08884e+09,1.89e+12,0.32,1.92,1.27,0
2.26376e+30,1.03645e+10,1.62e+11,0.30,3.99,1.42,0
3.85582e+29,7.55809e+09,1.19e+12,0.33,1.87,1.21,0
1.08528e+30,8.06834e+09,4.10e+11,0.30,2.87,1.42,0
7.95173e+29,9.59910e+09,1.14e+12,0.36,1.99,1.12,0
1.09105e+30,1.31709e+10,1.92e+12,0.36,1.90,1.11,0
4.24629e+29,8.32347e+09,1.38e+12,0.32,1.85,1.20,0
8.89384e+29,1.36811e+10,2.61e+12,0.36,1.83,1.15,0
9.31806e+28,2.96583e+09,3.93e+11,0.33,2.47,1.42,0
1.37219e+30,6.28246e+09,5.25e+10,0.30,5.49,1.42,0
6.32875e+29,1.24055e+10,2.73e+12,0.32,1.80,1.21,0
1.59633e+29,2.45558e+09,1.39e+11,0.36,2.22,1.17,0
4.89706e+29,9.59910e+09,1.76e+12,0.32,1.83,1.20,0
4.35371e+29,1.08747e+10,2.63e+12,0.32,1.93,1.29,0
2.74413e+29,1.11298e+10,6.33e+12,0.33,3.26,1.77,0
1.18880e+29,1.43508e+09,4.82e+10,0.37,2.42,1.12,0
9.83097e+28,2.45558e+09,2.31e+11,0.33,2.22,1.30,0
6.84937e+29,1.34260e+10,3.13e+12,0.32,1.79,1.21,0
1.16621e+29,6.02734e+09,3.17e+12,0.33,4.12,2.12,0
6.11184e+28,1.94533e+09,2.03e+11,0.33,2.61,1.43,0
2.48666e+30,1.13850e+10,2.02e+11,0.30,3.76,1.42,0
3.09961e+30,1.41914e+10,3.41e+11,0.30,3.28,1.42,0
8.45060e+29,6.28246e+09,2.61e+11,0.30,3.16,1.42,0
1.64532e+30,9.59910e+09,3.16e+11,0.30,3.37,1.42,0
2.03366e+29,3.98634e+09,4.17e+11,0.33,1.95,1.22,0
8.62273e+28,1.69021e+09,1.03e+11,0.34,2.15,1.22,0
1.49709e+30,1.11298e+10,7.39e+11,0.30,2.53,1.42,0
4.76690e+29,9.34397e+09,1.68e+12,0.32,1.83,1.20,0
5.93829e+29,1.16401e+10,2.44e+12,0.32,1.81,1.20,0
9.13694e+29,6.79272e+09,3.00e+11,0.30,3.06,1.42,0
4.33254e+29,3.22096e+09,7.85e+10,0.30,4.12,1.42,0
7.71495e+28,2.45558e+09,2.90e+11,0.33,2.52,1.42,0
5.80814e+29,1.13850e+10,2.36e+12,0.32,1.81,1.20,0
8.79709e+29,1.06196e+10,1.33e+12,0.36,1.96,1.11,0
2.98817e+30,1.36811e+10,3.12e+11,0.30,3.35,1.42,0
4.86441e+29,1.21504e+10,3.19e+12,0.32,1.93,1.29,0
1.11685e+29,5.77221e+09,2.82e+12,0.33,4.05,2.09,0
7.32118e+28,1.43508e+09,7.85e+10,0.34,2.19,1.22,0
2.45685e+29,2.96583e+09,1.65e+11,0.38,2.25,1.13,0
4.37848e+29,1.39362e+10,5.41e+12,0.33,2.37,1.45,0
2.57721e+29,1.17996e+09,1.25e+09,0.30,16.60,1.42,0
1.42791e+30,6.53759e+09,5.73e+10,0.30,5.36,1.42,0
4.21817e+29,1.34260e+10,4.95e+12,0.33,2.32,1.43,0
1.76218e+29,2.71071e+09,1.62e+11,0.36,2.16,1.16,0
1.92942e+30,8.83372e+09,1.12e+11,0.30,4.42,1.42,0
5.74537e+28,1.43508e+09,9.77e+10,0.34,2.37,1.30,0
2.43093e+30,1.11298e+10,1.91e+11,0.30,3.82,1.42,0
1.49380e+29,3.73121e+09,4.45e+11,0.33,2.11,1.29,0
1.06713e+30,1.01093e+10,5.28e+11,0.37,2.33,1.09,0
3.23017e+29,8.06834e+09,1.56e+12,0.33,1.97,1.28,0
2.41306e+29,6.02734e+09,9.58e+11,0.33,2.01,1.28,0
6.71922e+29,1.31709e+10,3.03e+12,0.32,1.80,1.21,0
1.90236e+29,4.75171e+09,6.62e+11,0.33,2.06,1.29,0
2.43245e+30,1.41914e+10,7.11e+11,0.30,2.73,1.42,0
2.12635e+30,1.24055e+10,5.36e+11,0.30,2.93,1.42,0
1.42317e+29,5.77221e+09,1.54e+12,0.33,2.85,1.61,0
8.23043e+29,1.26606e+10,2.04e+12,0.35,1.91,1.15,0
1.48608e+29,6.02734e+09,1.66e+12,0.33,2.84,1.61,0
4.37644e+29,8.57859e+09,1.45e+12,0.32,1.84,1.20,0
6.58906e+29,1.29157e+10,2.94e+12,0.32,1.80,1.21,0
2.55428e+29,5.00684e+09,5.94e+11,0.33,1.91,1.21,0
1.60159e+30,9.34397e+09,2.99e+11,0.30,3.41,1.42,0
6.04840e+29,4.49659e+09,1.43e+11,0.30,3.60,1.42,0
3.20505e+29,6.28246e+09,8.65e+11,0.33,1.88,1.21,0
9.05546e+29,8.57859e+09,3.92e+11,0.37,2.45,1.09,0
3.08900e+29,4.75171e+09,4.13e+11,0.36,2.05,1.16,0
1.66867e+30,1.24055e+10,9.05e+11,0.30,2.43,1.42,0
9.22554e+29,1.41914e+10,2.78e+12,0.36,1.82,1.15,0
1.47109e+30,1.39362e+10,9.60e+11,0.37,2.10,1.09,0
4.05786e+29,1.29157e+10,4.56e+12,0.33,2.27,1.43,0
3.64620e+29,2.71071e+09,5.75e+10,0.30,4.42,1.42,0
4.29833e+29,1.36811e+10,5.16e+12,0.33,2.32,1.44,0
2.94474e+29,5.77221e+09,7.51e+11,0.33,1.89,1.21,0
4.11613e+29,8.06834e+09,1.31e+12,0.32,1.85,1.20,0
5.67798e+29,1.11298e+10,2.26e+12,0.32,1.81,1.20,0
1.10866e+29,4.49659e+09,1.03e+12,0.33,2.91,1.61,0
1.73336e+29,5.51709e+09,1.03e+12,0.33,2.31,1.40,0
7.40116e+29,1.13850e+10,1.74e+12,0.35,1.93,1.15,0
1.14792e+30,1.08747e+10,6.05e+11,0.37,2.27,1.09,0
1.79166e+28,1.17996e+09,4.43e+11,0.33,6.68,3.13,0
3.70718e+28,1.17996e+09,9.08e+10,0.33,2.72,1.43,0
6.57190e+29,1.01093e+10,1.43e+12,0.35,1.94,1.15,0
1.17485e+30,1.11298e+10,6.32e+11,0.37,2.26,1.09,0
3.33521e+29,6.53759e+09,9.34e+11,0.33,1.89,1.21,0
5.27297e+29,1.31709e+10,3.71e+12,0.32,1.93,1.29,0
4.08412e+29,6.28246e+09,6.51e+11,0.36,1.99,1.15,0
8.51650e+28,2.71071e+09,3.40e+11,0.33,2.50,1.42,0
1.98515e+30,9.08884e+09,1.20e+11,0.30,4.34,1.42,0
2.59810e+30,1.18952e+10,2.24e+11,0.30,3.66,1.42,0
3.94515e+29,9.85422e+09,2.17e+12,0.32,1.91,1.27,0
4.25760e+28,2.20046e+09,5.35e+11,0.33,4.08,2.04,0
3.53828e+28,1.43508e+09,1.76e+11,0.33,3.24,1.65,0
1.82024e+30,1.06196e+10,3.89e+11,0.30,3.19,1.42,0
2.92315e+29,4.49659e+09,3.77e+11,0.36,2.06,1.16,0
5.31029e+28,1.69021e+09,1.62e+11,0.33,2.63,1.42,0
5.36338e+29,2.45558e+09,6.79e+09,0.30,10.12,1.42,0
2.09659e+30,9.59910e+09,1.36e+11,0.30,4.19,1.42,0
3.98937e+29,2.96583e+09,6.77e+10,0.30,4.26,1.42,0
2.55542e+29,1.03645e+10,4.97e+12,0.33,3.07,1.69,0
1.92803e+29,2.96583e+09,1.88e+11,0.36,2.14,1.16,0
1.70299e+30,1.26606e+10,9.41e+11,0.30,2.41,1.42,0
4.74753e+29,7.30297e+09,8.35e+11,0.35,1.98,1.15,0
4.45585e+29,1.11298e+10,2.74e+12,0.32,1.93,1.29,0
1.39413e+30,1.03645e+10,6.48e+11,0.30,2.60,1.42,0
1.58717e+29,1.17996e+09,1.24e+10,0.30,6.32,1.42,0
1.26494e+29,6.53759e+09,4.13e+12,0.33,4.34,2.22,0
9.45650e+29,5.51709e+09,1.05e+11,0.30,4.56,1.42,0
8.78615e+29,8.32347e+09,3.71e+11,0.37,2.48,1.09,0
3.01584e+29,9.59910e+09,2.62e+12,0.33,2.26,1.41,0
3.76397e+28,1.94533e+09,4.34e+11,0.33,4.06,2.03,0
8.51684e+29,8.06834e+09,3.51e+11,0.37,2.50,1.09,0
3.13070e+29,2.96583e+09,6.11e+10,0.38,3.40,1.10,0
7.76426e+29,5.77221e+09,2.24e+11,0.30,3.26,1.42,0
2.81459e+29,5.51709e+09,6.97e+11,0.33,1.90,1.20,0
8.80957e+28,2.20046e+09,1.93e+11,0.33,2.25,1.30,0
1.80594e+30,1.34260e+10,1.05e+12,0.30,2.36,1.42,0
1.51485e+29,1.43508e+09,1.65e+10,0.37,4.31,1.09,0
1.60004e+30,1.18952e+10,8.37e+11,0.30,2.47,1.42,0
3.77167e+29,2.20046e+09,1.71e+10,0.30,7.73,1.42,0
7.70732e+29,4.49659e+09,7.01e+10,0.30,5.12,1.42,0
2.47618e+30,1.44465e+10,7.39e+11,0.30,2.71,1.42,0
7.74039e+29,9.34397e+09,1.09e+12,0.36,2.00,1.12,0
2.09389e+29,3.22096e+09,2.16e+11,0.36,2.12,1.16,0
3.43445e+29,8.57859e+09,1.71e+12,0.32,1.93,1.27,0
2.24550e+29,2.71071e+09,1.42e+11,0.38,2.27,1.13,0
1.84026e+30,1.36811e+10,1.09e+12,0.30,2.34,1.42,0
1.61188e+29,6.53759e+09,1.93e+12,0.33,2.86,1.62,0
1.59508e+30,7.30297e+09,7.33e+10,0.30,4.99,1.42,0
