Mp (Mj), Rp (Rj), Mdots (g/s), Rsp (Rp), RXUV (Rp), cond
3.25485e+29,5.00684e+09,4.51e+11,0.36,2.05,1.16,0
1.36027e+29,5.51709e+09,1.42e+12,0.33,2.86,1.61,0
1.82282e+29,2.20046e+09,9.97e+10,0.38,2.31,1.13,0
1.46277e+30,1.08747e+10,7.08e+11,0.30,2.55,1.42,0
5.92061e+29,2.71071e+09,8.44e+09,0.30,9.48,1.42,0
5.28516e+29,5.00684e+09,1.50e+11,0.38,2.91,1.09,0
5.42536e+28,2.20046e+09,3.36e+11,0.33,3.10,1.63,0
4.63675e+29,9.08884e+09,1.60e+12,0.32,1.84,1.20,0
6.26099e+29,7.55809e+09,7.62e+11,0.36,2.05,1.12,0
6.09308e+29,5.77221e+09,1.93e+11,0.38,2.79,1.09,0
9.32920e+28,1.43508e+09,5.68e+10,0.36,2.37,1.16,0
1.35982e+30,1.01093e+10,6.19e+11,0.30,2.63,1.42,0
1.12258e+29,2.20046e+09,1.57e+11,0.33,2.07,1.21,0
1.38289e+29,2.71071e+09,2.21e+11,0.33,2.02,1.21,0
9.39139e+29,1.44465e+10,2.55e+12,0.35,1.87,1.14,0
5.20429e+29,6.28246e+09,5.56e+11,0.36,2.09,1.12,0
2.08262e+30,1.21504e+10,5.13e+11,0.30,2.97,1.42,0
5.74264e+29,8.83372e+09,1.14e+12,0.35,1.96,1.15,0
1.38295e+30,8.06834e+09,2.23e+11,0.30,3.70,1.42,0
1.28258e+30,1.21504e+10,7.44e+11,0.37,2.20,1.09,0
4.67571e+29,3.47608e+09,9.01e+10,0.30,3.99,1.42,0
2.05398e+29,6.53759e+09,1.37e+12,0.33,2.29,1.40,0
3.02590e+29,7.55809e+09,1.40e+12,0.33,1.97,1.28,0
3.72567e+29,7.30297e+09,1.13e+12,0.33,1.88,1.21,0
3.15534e+30,1.44465e+10,3.56e+11,0.30,3.24,1.42,0
1.31430e+29,6.79272e+09,4.40e+12,0.33,4.32,2.21,0
3.33647e+29,1.06196e+10,3.08e+12,0.33,2.23,1.40,0
1.73278e+30,1.01093e+10,3.51e+11,0.30,3.27,1.42,0
7.10636e+29,8.57859e+09,9.43e+11,0.36,2.02,1.12,0
4.24891e+29,1.94533e+09,4.05e+09,0.30,11.81,1.42,0
1.56572e+30,1.16401e+10,8.03e+11,0.30,2.49,1.42,0
1.55786e+30,9.08884e+09,2.83e+11,0.30,3.47,1.42,0
7.31244e+28,2.96583e+09,5.33e+11,0.33,2.99,1.62,0
2.13414e+29,6.79272e+09,1.47e+12,0.33,2.28,1.41,0
1.51304e+29,2.96583e+09,2.57e+11,0.33,2.00,1.22,0
4.91338e+29,7.55809e+09,8.84e+11,0.35,1.97,1.15,0
1.00651e+30,1.21504e+10,1.68e+12,0.36,1.92,1.11,0
3.89755e+29,1.24055e+10,4.19e+12,0.33,2.27,1.42,0
5.41094e+29,8.32347e+09,1.04e+12,0.35,1.97,1.15,0
2.27351e+29,1.69021e+09,2.45e+10,0.30,5.38,1.42,0
1.40014e+29,1.69021e+09,6.37e+10,0.38,2.38,1.12,0
4.55799e+29,1.13850e+10,2.86e+12,0.32,1.93,1.29,0
6.90361e+29,1.06196e+10,1.55e+12,0.35,1.94,1.15,0
1.16430e+30,6.79272e+09,1.58e+11,0.30,4.07,1.42,0
