mc09_fluxes,mc09_mdots
106.35527555136719,8318438326.734119
209.57233055880624,16138735648.325949
384.73883228928,28585162783.393513
1390.8245391946134,89446894876.08047
3839.461316641993,211133980399.39346
11883.046852916288,508864137391.8457
23639.421059823926,840328492230.9991
40600.37729661311,1239439973717.3284
106237.22621381195,2390660352102.612
224009.54582331996,3903044624809.671
536541.6464072702,6720161470401.84
949128.4100289451,9612253325530.438
