#nspecies: 2
#vars: r,rho,v,T,Ys_HI,Ys_HeI,Ncol_HI,Ncol_HeI,q,z
#scales: 8.13578960000000000e+09,1.00000000000000008e-15,9.08356129930352559e+05,1.00000000000000000e+04,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+17,1.00000000000000000e+17,1.00000000000000000e+00,8.13578960000000000e+09
#plnt_prms: 2.20608419079999994e+30,8.13578960000000000e+09,1.68219985140000008e+33,4.63760000000000000e+11,2.41700000000000000e+04,1.25558399999999994e+33
#phys_prms: 8.00012634901499986e-01,1.99987365098499986e-01,HI,HeI,1.67330000000000013e-24,6.64647907219800005e-24,2.29999999999999982e+00
#bcs: 1.02364101386099993e+00,5.55443609527999982e+00,2.56616493310799997e+04,1.27740223469500008e-01,1.00000000000000000e+00,1.00000000000000000e+00,3.69148664776400022e-04,3.51851911703499997e-05,7.28577126081199979e-05,4.16884280420000021e-05
#tech: 1.00000000000000000e+00,1.00000000000000000e+02,2.50000000000000000e+00,9.89999999999999991e-01 
#flags: 1,1,0.00000,1 
#add_prms: 0
#spec_prms: 302,2,0000-00-00,hd189733,full,6.19921273701366832e-08,9.11648931913774851e-06,6.19921273701366832e-08,9.11648931913774851e-06,6.19921273701366832e-08,9.11648931913774851e-06,2.17896099200000002e-11,3.93975373479999963e-11
# $hc/\lambda_i$, $w_i\Phi_{\lambda_i}/F_{uv}$, $\sigma_{\lambda_i,HI}$, $\sigma_{\lambda_i,HeI}$
## 2.45795070074896944e-09,1.94331864116744809e+07,2.71304287689808348e-24,8.12034643155874329e-23
## 1.25270035388367453e-09,5.50272601144772470e+07,2.59045871727132175e-23,7.50522936461457659e-22
## 6.85915881936639706e-10,5.84206742392227799e+07,1.88796939799657806e-22,5.23294608303914074e-21
## 4.32074304565271543e-10,9.08148760419469029e+07,8.46338836901973098e-22,2.22585709727031459e-20
## 3.05341889133073354e-10,1.24726090174659282e+08,2.57049731275277975e-21,6.37331033424500058e-20
## 2.36093052714928520e-10,1.09808303242171869e+08,5.79628043928254948e-21,1.35143809435545852e-19
## 1.96381471720892247e-10,8.08553768646971434e+07,1.03170488473394037e-20,2.27111179198562575e-19
## 1.73859848351670587e-10,4.07094748333170339e+07,1.50657759614377406e-20,3.16756908586534615e-19
## 1.62781829049137393e-10,1.67857684420198202e+07,1.84698531402200772e-20,3.77651692942522758e-19
## 1.60049622995023062e-10,1.73393388805117179e+06,1.94608736726307749e-20,3.94926020171737242e-19
## 1.58994889841334096e-10,4.02269772783544334e+06,1.98620247494102692e-20,4.01864163157807394e-19
## 1.57144978952615474e-10,6.30406358545881975e+06,2.05921134128759689e-20,4.14413506235995330e-19
## 1.54576217143776067e-10,8.55603237827819958e+06,2.16652341083157445e-20,4.32681670901037615e-19
## 1.51389477365241815e-10,1.07531179649506006e+07,2.31005431753460150e-20,4.56798517503613722e-19
## 1.47701038014199908e-10,1.32173083228936270e+07,2.49212626151639045e-20,4.86895829332338255e-19
## 1.43633564570245508e-10,1.63281899664815329e+07,2.71531819684451865e-20,5.23080452994731416e-19
## 1.39308065639899060e-10,2.12669641480717957e+07,2.98227545613957781e-20,5.65404660494095052e-19
## 1.34837546599052822e-10,2.76800721590759270e+07,3.29548139837755158e-20,6.13836244597035406e-19
## 1.30322671084316813e-10,3.37538267293607071e+07,3.65699648828084140e-20,6.68230943491537484e-19
## 1.25849377043167693e-10,5.28599636377519295e+07,4.06817422001749149e-20,7.28309681448515874e-19
## 1.21488150750300447e-10,1.16938713618686125e+08,4.52936748485137613e-20,7.93642691206206350e-19
## 1.17294547482978802e-10,2.22527308754676521e+08,5.03964272848827535e-20,8.63641888087146125e-19
## 1.13310535835101719e-10,2.95325825048934817e+08,5.59652198680687782e-20,9.37562013145884913e-19
## 1.09566296007219991e-10,3.02391498284763694e+08,6.19577415857931409e-20,1.01451021149358385e-18
## 1.06082185504473091e-10,2.97462508323726892e+08,6.83127634726890955e-20,1.09346301350380452e-18
## 1.02870672866231877e-10,2.91611629263087988e+08,7.49496364353974238e-20,1.17328924099227157e-18
## 9.99381164839207086e-11,2.58432852332226545e+08,8.17688139111643252e-20,1.25277719348028197e-18
## 9.72863250573113629e-11,2.00401335493768930e+08,8.86534804296497923e-20,1.33066453676030398e-18
## 9.49138782512865369e-11,1.50505518061202794e+08,9.54722960347353619e-20,1.40566952870848801e-18
## 9.28172130430145254e-11,1.16442697314282194e+08,1.02083189220700375e-19,1.47652247871437612e-18
## 9.09914965430736292e-11,9.21219463628981262e+07,1.08338053829704673e-19,1.54199657185523071e-18
## 8.94313131325535318e-11,7.40701514392586201e+07,1.14088134672082055e-19,1.60093735841042690e-18
## 8.81311954108185229e-11,5.80612114367762432e+07,1.19189828509689596e-19,1.65229031098656118e-18
## 8.70860267608709712e-11,4.39908254016766101e+07,1.23510586859977330e-19,1.69512590919578058e-18
## 8.62913393408503284e-11,3.17819837888501547e+07,1.26934590588310889e-19,1.72866177435706218e-18
## 8.57435221424696306e-11,2.01961514095264189e+07,1.29367892935850747e-19,1.75228163697102339e-18
## 8.54398767409987298e-11,8.69882433182365820e+06,1.30743087239548845e-19,1.76555417822597978e-18
## 8.53216547631419382e-11,5.06564979801463056e+06,1.31283706664459717e-19,1.77075701905232904e-18
## 8.51462921570482298e-11,1.17432401629410461e+07,1.32091052680547388e-19,1.77851128661224035e-18
## 8.48348235792841003e-11,1.83843025121396631e+07,1.33541182243843161e-19,1.79239301311755521e-18
