#Planet: 1.1620 Mjup, 1.1380 Rjup, 0.031 au 
#Star: 0.846 Msun, 0.328 Lsun 
#Spectrum: 24170 ergs/s/cm2, hd189733, [0.620,91.165] nm
#HD189733b w/ 10xZ_solar H,He,C,N,O,Ne,MgII,SiII,Ca. Actual HD189733 spectrum.
r,r/Rp,v,T,rho
31809988219.4,3.910,5.19590e+05,1.74595e+03,8.03578e-19
31812429793.7,3.910,5.19727e+05,1.74551e+03,8.03244e-19
31814871368.1,3.910,5.19864e+05,1.74507e+03,8.02909e-19
31817312942.4,3.911,5.20000e+05,1.74463e+03,8.02575e-19
31819754516.8,3.911,5.20137e+05,1.74420e+03,8.02241e-19
31822196091.1,3.911,5.20274e+05,1.74376e+03,8.01907e-19
31824637665.5,3.912,5.20411e+05,1.74332e+03,8.01573e-19
31827079239.9,3.912,5.20548e+05,1.74289e+03,8.01239e-19
31829520814.2,3.912,5.20685e+05,1.74245e+03,8.00906e-19
31831962388.6,3.913,5.20821e+05,1.74201e+03,8.00572e-19
31834403962.9,3.913,5.20958e+05,1.74158e+03,8.00239e-19
31836845537.3,3.913,5.21095e+05,1.74114e+03,7.99906e-19
31839287111.6,3.913,5.21232e+05,1.74071e+03,7.99573e-19
31841728686.0,3.914,5.21369e+05,1.74027e+03,7.99240e-19
31844170260.3,3.914,5.21506e+05,1.73983e+03,7.98908e-19
31846611834.7,3.914,5.21644e+05,1.73940e+03,7.98575e-19
31849053409.0,3.915,5.21781e+05,1.73896e+03,7.98243e-19
31851494983.4,3.915,5.21918e+05,1.73853e+03,7.97911e-19
31853936557.7,3.915,5.22055e+05,1.73809e+03,7.97579e-19
31856378132.1,3.916,5.22192e+05,1.73766e+03,7.97247e-19
31858819706.4,3.916,5.22330e+05,1.73722e+03,7.96916e-19
31861261280.8,3.916,5.22467e+05,1.73679e+03,7.96584e-19
31863702855.1,3.916,5.22604e+05,1.73635e+03,7.96253e-19
31866144429.5,3.917,5.22741e+05,1.73592e+03,7.95922e-19
31868586003.8,3.917,5.22879e+05,1.73548e+03,7.95591e-19
31871027578.2,3.917,5.23016e+05,1.73505e+03,7.95260e-19
31873469152.5,3.918,5.23154e+05,1.73461e+03,7.94929e-19
31875910726.9,3.918,5.23291e+05,1.73418e+03,7.94598e-19
31878352301.2,3.918,5.23429e+05,1.73375e+03,7.94268e-19
31880793875.6,3.919,5.23566e+05,1.73331e+03,7.93938e-19
31883235449.9,3.919,5.23704e+05,1.73288e+03,7.93608e-19
31885677024.3,3.919,5.23841e+05,1.73244e+03,7.93278e-19
31888118598.6,3.919,5.23979e+05,1.73201e+03,7.92948e-19
31890560173.0,3.920,5.24117e+05,1.73158e+03,7.92618e-19
31893001747.3,3.920,5.24254e+05,1.73114e+03,7.92289e-19
31895443321.7,3.920,5.24392e+05,1.73071e+03,7.91959e-19
31897884896.0,3.921,5.24530e+05,1.73028e+03,7.91630e-19
31900326470.4,3.921,5.24668e+05,1.72984e+03,7.91301e-19
31902768044.7,3.921,5.24806e+05,1.72941e+03,7.90972e-19
31905209619.1,3.922,5.24943e+05,1.72898e+03,7.90643e-19
31907651193.5,3.922,5.25081e+05,1.72855e+03,7.90315e-19
31910092767.8,3.922,5.25219e+05,1.72811e+03,7.89986e-19
31912534342.2,3.922,5.25357e+05,1.72768e+03,7.89658e-19
31914975916.5,3.923,5.25495e+05,1.72725e+03,7.89330e-19
31917417490.9,3.923,5.25633e+05,1.72682e+03,7.89002e-19
31919859065.2,3.923,5.25771e+05,1.72638e+03,7.88674e-19
31922300639.6,3.924,5.25909e+05,1.72595e+03,7.88346e-19
31924742213.9,3.924,5.26048e+05,1.72552e+03,7.88019e-19
31927183788.3,3.924,5.26186e+05,1.72509e+03,7.87691e-19
31929625362.6,3.925,5.26324e+05,1.72466e+03,7.87364e-19
31932066937.0,3.925,5.26462e+05,1.72422e+03,7.87037e-19
31934508511.3,3.925,5.26600e+05,1.72379e+03,7.86710e-19
31936950085.7,3.925,5.26739e+05,1.72336e+03,7.86383e-19
31939391660.0,3.926,5.26877e+05,1.72293e+03,7.86056e-19
31941833234.4,3.926,5.27016e+05,1.72250e+03,7.85730e-19
31944274808.7,3.926,5.27154e+05,1.72207e+03,7.85403e-19
31946716383.1,3.927,5.27292e+05,1.72164e+03,7.85077e-19
31949157957.4,3.927,5.27431e+05,1.72121e+03,7.84751e-19
31951599531.8,3.927,5.27569e+05,1.72078e+03,7.84425e-19
31954041106.1,3.928,5.27708e+05,1.72035e+03,7.84099e-19
31956482680.5,3.928,5.27847e+05,1.71992e+03,7.83774e-19
31958924254.8,3.928,5.27985e+05,1.71949e+03,7.83448e-19
31961365829.2,3.928,5.28124e+05,1.71906e+03,7.83123e-19
31963807403.5,3.929,5.28263e+05,1.71863e+03,7.82797e-19
31966248977.9,3.929,5.28401e+05,1.71820e+03,7.82472e-19
31968690552.2,3.929,5.28540e+05,1.71777e+03,7.82147e-19
31971132126.6,3.930,5.28679e+05,1.71734e+03,7.81823e-19
31973573700.9,3.930,5.28818e+05,1.71691e+03,7.81498e-19
31976015275.3,3.930,5.28957e+05,1.71648e+03,7.81173e-19
31978456849.6,3.931,5.29096e+05,1.71605e+03,7.80849e-19
31980898424.0,3.931,5.29235e+05,1.71562e+03,7.80525e-19
31983339998.3,3.931,5.29374e+05,1.71519e+03,7.80201e-19
31985781572.7,3.931,5.29513e+05,1.71476e+03,7.79877e-19
31988223147.1,3.932,5.29652e+05,1.71433e+03,7.79553e-19
31990664721.4,3.932,5.29791e+05,1.71390e+03,7.79229e-19
31993106295.8,3.932,5.29930e+05,1.71347e+03,7.78906e-19
31995547870.1,3.933,5.30069e+05,1.71304e+03,7.78582e-19
31997989444.5,3.933,5.30208e+05,1.71262e+03,7.78259e-19
32000431018.8,3.933,5.30348e+05,1.71219e+03,7.77936e-19
32002872593.2,3.934,5.30487e+05,1.71176e+03,7.77613e-19
32005314167.5,3.934,5.30626e+05,1.71133e+03,7.77290e-19
32007755741.9,3.934,5.30766e+05,1.71090e+03,7.76968e-19
32010197316.2,3.934,5.30905e+05,1.71047e+03,7.76645e-19
32012638890.6,3.935,5.31045e+05,1.71005e+03,7.76323e-19
32015080464.9,3.935,5.31184e+05,1.70962e+03,7.76000e-19
32017522039.3,3.935,5.31324e+05,1.70919e+03,7.75678e-19
32019963613.6,3.936,5.31463e+05,1.70876e+03,7.75356e-19
32022405188.0,3.936,5.31603e+05,1.70834e+03,7.75034e-19
32024846762.3,3.936,5.31743e+05,1.70791e+03,7.74713e-19
32027288336.7,3.937,5.31882e+05,1.70748e+03,7.74391e-19
32029729911.0,3.937,5.32022e+05,1.70705e+03,7.74070e-19
32032171485.4,3.937,5.32162e+05,1.70663e+03,7.73748e-19
32034613059.7,3.937,5.32302e+05,1.70620e+03,7.73427e-19
32037054634.1,3.938,5.32442e+05,1.70577e+03,7.73106e-19
32039496208.4,3.938,5.32582e+05,1.70535e+03,7.72785e-19
32041937782.8,3.938,5.32722e+05,1.70492e+03,7.72464e-19
32044379357.1,3.939,5.32862e+05,1.70449e+03,7.72144e-19
32046820931.5,3.939,5.33002e+05,1.70407e+03,7.71823e-19
32049262505.8,3.939,5.33142e+05,1.70364e+03,7.71503e-19
32051704080.2,3.940,5.33282e+05,1.70321e+03,7.71183e-19
32054145654.5,3.940,5.33422e+05,1.70279e+03,7.70862e-19
32056587228.9,3.940,5.33562e+05,1.70236e+03,7.70542e-19
32059028803.2,3.940,5.33703e+05,1.70193e+03,7.70223e-19
32061470377.6,3.941,5.33843e+05,1.70151e+03,7.69903e-19
32063911951.9,3.941,5.33983e+05,1.70108e+03,7.69583e-19
32066353526.3,3.941,5.34124e+05,1.70066e+03,7.69264e-19
32068795100.7,3.942,5.34264e+05,1.70023e+03,7.68944e-19
32071236675.0,3.942,5.34405e+05,1.69981e+03,7.68625e-19
32073678249.4,3.942,5.34545e+05,1.69938e+03,7.68306e-19
32076119823.7,3.943,5.34686e+05,1.69895e+03,7.67987e-19
32078561398.1,3.943,5.34826e+05,1.69853e+03,7.67668e-19
32081002972.4,3.943,5.34967e+05,1.69810e+03,7.67350e-19
32083444546.8,3.943,5.35108e+05,1.69768e+03,7.67031e-19
32085886121.1,3.944,5.35249e+05,1.69725e+03,7.66713e-19
32088327695.5,3.944,5.35389e+05,1.69683e+03,7.66394e-19
32090769269.8,3.944,5.35530e+05,1.69640e+03,7.66076e-19
32093210844.2,3.945,5.35671e+05,1.69598e+03,7.65758e-19
32095652418.5,3.945,5.35812e+05,1.69555e+03,7.65440e-19
32098093992.9,3.945,5.35953e+05,1.69513e+03,7.65122e-19
32100535567.2,3.946,5.36094e+05,1.69470e+03,7.64805e-19
32102977141.6,3.946,5.36235e+05,1.69428e+03,7.64487e-19
32105418715.9,3.946,5.36377e+05,1.69386e+03,7.64170e-19
32107860290.3,3.946,5.36518e+05,1.69343e+03,7.63852e-19
32110301864.6,3.947,5.36659e+05,1.69301e+03,7.63535e-19
32112743439.0,3.947,5.36800e+05,1.69258e+03,7.63218e-19
32115185013.3,3.947,5.36942e+05,1.69216e+03,7.62901e-19
32117626587.7,3.948,5.37083e+05,1.69174e+03,7.62584e-19
32120068162.0,3.948,5.37225e+05,1.69131e+03,7.62267e-19
32122509736.4,3.948,5.37366e+05,1.69089e+03,7.61951e-19
32124951310.7,3.949,5.37508e+05,1.69046e+03,7.61634e-19
32127392885.1,3.949,5.37649e+05,1.69004e+03,7.61318e-19
32129834459.4,3.949,5.37791e+05,1.68962e+03,7.61002e-19
32132276033.8,3.949,5.37933e+05,1.68919e+03,7.60686e-19
32134717608.1,3.950,5.38075e+05,1.68877e+03,7.60370e-19
32137159182.5,3.950,5.38217e+05,1.68835e+03,7.60054e-19
32139600756.8,3.950,5.38358e+05,1.68792e+03,7.59738e-19
32142042331.2,3.951,5.38500e+05,1.68750e+03,7.59422e-19
32144483905.5,3.951,5.38642e+05,1.68708e+03,7.59107e-19
32146925479.9,3.951,5.38785e+05,1.68665e+03,7.58791e-19
32149367054.2,3.952,5.38927e+05,1.68623e+03,7.58476e-19
32151808628.6,3.952,5.39069e+05,1.68581e+03,7.58161e-19
32154250203.0,3.952,5.39211e+05,1.68538e+03,7.57845e-19
32156691777.3,3.952,5.39353e+05,1.68496e+03,7.57530e-19
32159133351.7,3.953,5.39496e+05,1.68454e+03,7.57215e-19
32161574926.0,3.953,5.39638e+05,1.68412e+03,7.56901e-19
32164016500.4,3.953,5.39781e+05,1.68369e+03,7.56586e-19
32166458074.7,3.954,5.39923e+05,1.68327e+03,7.56271e-19
32168899649.1,3.954,5.40066e+05,1.68285e+03,7.55957e-19
32171341223.4,3.954,5.40209e+05,1.68243e+03,7.55643e-19
32173782797.8,3.955,5.40351e+05,1.68200e+03,7.55328e-19
32176224372.1,3.955,5.40494e+05,1.68158e+03,7.55014e-19
32178665946.5,3.955,5.40637e+05,1.68116e+03,7.54700e-19
32181107520.8,3.955,5.40780e+05,1.68074e+03,7.54386e-19
32183549095.2,3.956,5.40923e+05,1.68031e+03,7.54072e-19
32185990669.5,3.956,5.41066e+05,1.67989e+03,7.53759e-19
32188432243.9,3.956,5.41209e+05,1.67947e+03,7.53445e-19
32190873818.2,3.957,5.41352e+05,1.67905e+03,7.53131e-19
32193315392.6,3.957,5.41495e+05,1.67863e+03,7.52818e-19
32195756966.9,3.957,5.41639e+05,1.67820e+03,7.52505e-19
32198198541.3,3.958,5.41782e+05,1.67778e+03,7.52191e-19
32200640115.6,3.958,5.41926e+05,1.67736e+03,7.51878e-19
32203081690.0,3.958,5.42069e+05,1.67694e+03,7.51565e-19
32205523264.3,3.959,5.42213e+05,1.67652e+03,7.51252e-19
32207964838.7,3.959,5.42356e+05,1.67609e+03,7.50939e-19
32210406413.0,3.959,5.42500e+05,1.67567e+03,7.50627e-19
32212847987.4,3.959,5.42644e+05,1.67525e+03,7.50314e-19
32215289561.7,3.960,5.42788e+05,1.67483e+03,7.50001e-19
32217731136.1,3.960,5.42932e+05,1.67441e+03,7.49689e-19
32220172710.4,3.960,5.43076e+05,1.67399e+03,7.49377e-19
32222614284.8,3.961,5.43220e+05,1.67357e+03,7.49064e-19
32225055859.1,3.961,5.43364e+05,1.67314e+03,7.48752e-19
32227497433.5,3.961,5.43508e+05,1.67272e+03,7.48440e-19
32229939007.8,3.962,5.43653e+05,1.67230e+03,7.48128e-19
32232380582.2,3.962,5.43797e+05,1.67188e+03,7.47816e-19
32234822156.6,3.962,5.43942e+05,1.67146e+03,7.47504e-19
32237263730.9,3.962,5.44086e+05,1.67104e+03,7.47192e-19
32239705305.3,3.963,5.44231e+05,1.67062e+03,7.46880e-19
32242146879.6,3.963,5.44375e+05,1.67019e+03,7.46569e-19
32244588454.0,3.963,5.44520e+05,1.66977e+03,7.46257e-19
32247030028.3,3.964,5.44665e+05,1.66935e+03,7.45946e-19
32249471602.7,3.964,5.44810e+05,1.66893e+03,7.45634e-19
32251913177.0,3.964,5.44955e+05,1.66851e+03,7.45323e-19
32254354751.4,3.965,5.45100e+05,1.66809e+03,7.45012e-19
32256796325.7,3.965,5.45246e+05,1.66767e+03,7.44700e-19
32259237900.1,3.965,5.45391e+05,1.66725e+03,7.44389e-19
32261679474.4,3.965,5.45536e+05,1.66682e+03,7.44078e-19
32264121048.8,3.966,5.45682e+05,1.66640e+03,7.43767e-19
32266562623.1,3.966,5.45827e+05,1.66598e+03,7.43456e-19
32269004197.5,3.966,5.45973e+05,1.66556e+03,7.43146e-19
32271445771.8,3.967,5.46119e+05,1.66514e+03,7.42835e-19
32273887346.2,3.967,5.46265e+05,1.66472e+03,7.42524e-19
32276328920.5,3.967,5.46411e+05,1.66430e+03,7.42213e-19
32278770494.9,3.968,5.46557e+05,1.66388e+03,7.41903e-19
32281212069.2,3.968,5.46703e+05,1.66346e+03,7.41592e-19
32283653643.6,3.968,5.46849e+05,1.66303e+03,7.41282e-19
32286095217.9,3.968,5.46996e+05,1.66261e+03,7.40971e-19
32288536792.3,3.969,5.47142e+05,1.66219e+03,7.40661e-19
32290978366.6,3.969,5.47289e+05,1.66177e+03,7.40351e-19
32293419941.0,3.969,5.47435e+05,1.66135e+03,7.40040e-19
32295861515.3,3.970,5.47582e+05,1.66093e+03,7.39730e-19
32298303089.7,3.970,5.47729e+05,1.66051e+03,7.39420e-19
32300744664.0,3.970,5.47876e+05,1.66009e+03,7.39110e-19
32303186238.4,3.971,5.48023e+05,1.65966e+03,7.38800e-19
32305627812.7,3.971,5.48170e+05,1.65924e+03,7.38490e-19
32308069387.1,3.971,5.48318e+05,1.65882e+03,7.38180e-19
32310510961.4,3.971,5.48465e+05,1.65840e+03,7.37870e-19
32312952535.8,3.972,5.48613e+05,1.65798e+03,7.37560e-19
32315394110.2,3.972,5.48760e+05,1.65756e+03,7.37250e-19
32317835684.5,3.972,5.48908e+05,1.65713e+03,7.36940e-19
32320277258.9,3.973,5.49056e+05,1.65671e+03,7.36630e-19
32322718833.2,3.973,5.49204e+05,1.65629e+03,7.36320e-19
32325160407.6,3.973,5.49352e+05,1.65587e+03,7.36010e-19
32327601981.9,3.974,5.49501e+05,1.65545e+03,7.35701e-19
32330043556.3,3.974,5.49649e+05,1.65503e+03,7.35391e-19
32332485130.6,3.974,5.49797e+05,1.65460e+03,7.35081e-19
32334926705.0,3.974,5.49946e+05,1.65418e+03,7.34772e-19
32337368279.3,3.975,5.50095e+05,1.65376e+03,7.34462e-19
32339809853.7,3.975,5.50244e+05,1.65334e+03,7.34152e-19
32342251428.0,3.975,5.50393e+05,1.65291e+03,7.33842e-19
32344693002.4,3.976,5.50542e+05,1.65249e+03,7.33533e-19
32347134576.7,3.976,5.50692e+05,1.65207e+03,7.33223e-19
32349576151.1,3.976,5.50841e+05,1.65165e+03,7.32913e-19
32352017725.4,3.977,5.50991e+05,1.65122e+03,7.32604e-19
32354459299.8,3.977,5.51141e+05,1.65080e+03,7.32294e-19
32356900874.1,3.977,5.51291e+05,1.65038e+03,7.31984e-19
32359342448.5,3.977,5.51441e+05,1.64996e+03,7.31675e-19
32361784022.8,3.978,5.51591e+05,1.64953e+03,7.31365e-19
32364225597.2,3.978,5.51742e+05,1.64911e+03,7.31055e-19
32366667171.5,3.978,5.51892e+05,1.64869e+03,7.30745e-19
32369108745.9,3.979,5.52043e+05,1.64826e+03,7.30435e-19
32371550320.2,3.979,5.52194e+05,1.64784e+03,7.30126e-19
32373991894.6,3.979,5.52345e+05,1.64741e+03,7.29816e-19
32376433468.9,3.980,5.52496e+05,1.64699e+03,7.29506e-19
32378875043.3,3.980,5.52648e+05,1.64657e+03,7.29196e-19
32381316617.6,3.980,5.52800e+05,1.64614e+03,7.28886e-19
32383758192.0,3.980,5.52951e+05,1.64572e+03,7.28576e-19
32386199766.3,3.981,5.53103e+05,1.64529e+03,7.28266e-19
32388641340.7,3.981,5.53256e+05,1.64487e+03,7.27956e-19
32391082915.0,3.981,5.53408e+05,1.64444e+03,7.27645e-19
32393524489.4,3.982,5.53561e+05,1.64402e+03,7.27335e-19
32395966063.8,3.982,5.53714e+05,1.64359e+03,7.27025e-19
32398407638.1,3.982,5.53867e+05,1.64317e+03,7.26714e-19
32400849212.5,3.983,5.54020e+05,1.64274e+03,7.26404e-19
32403290786.8,3.983,5.54173e+05,1.64231e+03,7.26093e-19
32405732361.2,3.983,5.54327e+05,1.64189e+03,7.25782e-19
32408173935.5,3.983,5.54481e+05,1.64146e+03,7.25472e-19
32410615509.9,3.984,5.54635e+05,1.64103e+03,7.25161e-19
32413057084.2,3.984,5.54790e+05,1.64061e+03,7.24850e-19
32415498658.6,3.984,5.54944e+05,1.64018e+03,7.24539e-19
32417940232.9,3.985,5.55099e+05,1.63975e+03,7.24227e-19
32420381807.3,3.985,5.55254e+05,1.63932e+03,7.23916e-19
32422823381.6,3.985,5.55410e+05,1.63889e+03,7.23605e-19
32425264956.0,3.986,5.55565e+05,1.63847e+03,7.23293e-19
32427706530.3,3.986,5.55721e+05,1.63804e+03,7.22981e-19
32430148104.7,3.986,5.55877e+05,1.63761e+03,7.22669e-19
32432589679.0,3.986,5.56034e+05,1.63718e+03,7.22357e-19
32435031253.4,3.987,5.56190e+05,1.63675e+03,7.22045e-19
32437472827.7,3.987,5.56347e+05,1.63632e+03,7.21733e-19
32439914402.1,3.987,5.56504e+05,1.63589e+03,7.21420e-19
32442355976.4,3.988,5.56662e+05,1.63546e+03,7.21107e-19
32444797550.8,3.988,5.56820e+05,1.63503e+03,7.20795e-19
32447239125.1,3.988,5.56978e+05,1.63459e+03,7.20482e-19
32449680699.5,3.989,5.57136e+05,1.63416e+03,7.20168e-19
32452122273.8,3.989,5.57295e+05,1.63373e+03,7.19855e-19
32454563848.2,3.989,5.57454e+05,1.63330e+03,7.19541e-19
32457005422.5,3.989,5.57613e+05,1.63286e+03,7.19228e-19
32459446996.9,3.990,5.57773e+05,1.63243e+03,7.18914e-19
32461888571.2,3.990,5.57932e+05,1.63200e+03,7.18600e-19
32464330145.6,3.990,5.58092e+05,1.63156e+03,7.18286e-19
32466771719.9,3.991,5.58253e+05,1.63113e+03,7.17971e-19
32469213294.3,3.991,5.58413e+05,1.63069e+03,7.17657e-19
32471654868.6,3.991,5.58574e+05,1.63026e+03,7.17342e-19
32474096443.0,3.992,5.58735e+05,1.62982e+03,7.17028e-19
32476538017.4,3.992,5.58897e+05,1.62939e+03,7.16713e-19
32478979591.7,3.992,5.59058e+05,1.62895e+03,7.16398e-19
32481421166.1,3.992,5.59220e+05,1.62852e+03,7.16083e-19
32483862740.4,3.993,5.59382e+05,1.62808e+03,7.15769e-19
32486304314.8,3.993,5.59544e+05,1.62764e+03,7.15454e-19
32488745889.1,3.993,5.59706e+05,1.62721e+03,7.15139e-19
32491187463.5,3.994,5.59868e+05,1.62677e+03,7.14824e-19
32493629037.8,3.994,5.60031e+05,1.62634e+03,7.14509e-19
32496070612.2,3.994,5.60193e+05,1.62590e+03,7.14195e-19
32498512186.5,3.995,5.60356e+05,1.62546e+03,7.13881e-19
32500953760.9,3.995,5.60518e+05,1.62503e+03,7.13566e-19
32503395335.2,3.995,5.60681e+05,1.62459e+03,7.13252e-19
32505836909.6,3.995,5.60843e+05,1.62416e+03,7.12939e-19
32508278483.9,3.996,5.61005e+05,1.62372e+03,7.12626e-19
32510720058.3,3.996,5.61167e+05,1.62329e+03,7.12313e-19
32513161632.6,3.996,5.61329e+05,1.62286e+03,7.12000e-19
32515603207.0,3.997,5.61491e+05,1.62242e+03,7.11688e-19
32518044781.3,3.997,5.61653e+05,1.62199e+03,7.11377e-19
32520486355.7,3.997,5.61814e+05,1.62156e+03,7.11066e-19
32522927930.0,3.998,5.61975e+05,1.62113e+03,7.10755e-19
32525369504.4,3.998,5.62136e+05,1.62070e+03,7.10445e-19
32527811078.7,3.998,5.62296e+05,1.62027e+03,7.10136e-19
32530252653.1,3.998,5.62456e+05,1.61984e+03,7.09828e-19
32532694227.4,3.999,5.62616e+05,1.61941e+03,7.09520e-19
32535135801.8,3.999,5.62775e+05,1.61899e+03,7.09213e-19
32537577376.1,3.999,5.62933e+05,1.61856e+03,7.08906e-19
32540018950.5,4.000,5.63092e+05,1.61814e+03,7.08601e-19
32542460524.8,4.000,5.63249e+05,1.61771e+03,7.08296e-19
32544902099.2,4.000,5.63407e+05,1.61729e+03,7.07992e-19
32547343673.5,4.001,5.63564e+05,1.61687e+03,7.07689e-19
32549785247.9,4.001,5.63720e+05,1.61645e+03,7.07386e-19
32552226822.2,4.001,5.63876e+05,1.61603e+03,7.07084e-19
32554668396.6,4.001,5.64031e+05,1.61562e+03,7.06784e-19
32557109971.0,4.002,5.64186e+05,1.61520e+03,7.06484e-19
32559551545.3,4.002,5.64341e+05,1.61478e+03,7.06184e-19
32561993119.7,4.002,5.64495e+05,1.61437e+03,7.05886e-19
32564434694.0,4.003,5.64648e+05,1.61396e+03,7.05588e-19
32566876268.4,4.003,5.64801e+05,1.61354e+03,7.05291e-19
32569317842.7,4.003,5.64954e+05,1.61313e+03,7.04995e-19
32571759417.1,4.004,5.65106e+05,1.61272e+03,7.04700e-19
32574200991.4,4.004,5.65257e+05,1.61232e+03,7.04405e-19
32576642565.8,4.004,5.65409e+05,1.61191e+03,7.04111e-19
32579084140.1,4.004,5.65560e+05,1.61150e+03,7.03818e-19
32581525714.5,4.005,5.65710e+05,1.61109e+03,7.03525e-19
32583967288.8,4.005,5.65860e+05,1.61069e+03,7.03233e-19
32586408863.2,4.005,5.66010e+05,1.61028e+03,7.02941e-19
32588850437.5,4.006,5.66160e+05,1.60988e+03,7.02650e-19
32591292011.9,4.006,5.66309e+05,1.60948e+03,7.02360e-19
32593733586.2,4.006,5.66458e+05,1.60908e+03,7.02070e-19
32596175160.6,4.007,5.66606e+05,1.60867e+03,7.01781e-19
32598616734.9,4.007,5.66754e+05,1.60827e+03,7.01492e-19
32601058309.3,4.007,5.66903e+05,1.60787e+03,7.01204e-19
32603499883.6,4.007,5.67050e+05,1.60747e+03,7.00916e-19
32605941458.0,4.008,5.67198e+05,1.60707e+03,7.00629e-19
32608383032.3,4.008,5.67345e+05,1.60668e+03,7.00342e-19
32610824606.7,4.008,5.67492e+05,1.60628e+03,7.00056e-19
32613266181.0,4.009,5.67639e+05,1.60588e+03,6.99770e-19
32615707755.4,4.009,5.67786e+05,1.60548e+03,6.99484e-19
32618149329.7,4.009,5.67933e+05,1.60509e+03,6.99199e-19
32620590904.1,4.010,5.68079e+05,1.60469e+03,6.98914e-19
32623032478.4,4.010,5.68226e+05,1.60430e+03,6.98629e-19
32625474052.8,4.010,5.68372e+05,1.60390e+03,6.98345e-19
32627915627.1,4.010,5.68518e+05,1.60351e+03,6.98061e-19
32630357201.5,4.011,5.68664e+05,1.60311e+03,6.97777e-19
32632798775.8,4.011,5.68810e+05,1.60272e+03,6.97494e-19
32635240350.2,4.011,5.68955e+05,1.60233e+03,6.97211e-19
32637681924.6,4.012,5.69101e+05,1.60193e+03,6.96929e-19
32640123498.9,4.012,5.69247e+05,1.60154e+03,6.96646e-19
32642565073.3,4.012,5.69392e+05,1.60115e+03,6.96364e-19
32645006647.6,4.013,5.69537e+05,1.60076e+03,6.96082e-19
32647448222.0,4.013,5.69682e+05,1.60037e+03,6.95801e-19
32649889796.3,4.013,5.69828e+05,1.59998e+03,6.95520e-19
32652331370.7,4.013,5.69973e+05,1.59958e+03,6.95239e-19
32654772945.0,4.014,5.70117e+05,1.59919e+03,6.94958e-19
32657214519.4,4.014,5.70262e+05,1.59880e+03,6.94678e-19
32659656093.7,4.014,5.70407e+05,1.59841e+03,6.94397e-19
32662097668.1,4.015,5.70552e+05,1.59802e+03,6.94117e-19
32664539242.4,4.015,5.70696e+05,1.59764e+03,6.93838e-19
32666980816.8,4.015,5.70841e+05,1.59725e+03,6.93558e-19
32669422391.1,4.016,5.70986e+05,1.59686e+03,6.93279e-19
32671863965.5,4.016,5.71130e+05,1.59647e+03,6.93000e-19
32674305539.8,4.016,5.71274e+05,1.59608e+03,6.92722e-19
32676747114.2,4.016,5.71419e+05,1.59569e+03,6.92443e-19
32679188688.5,4.017,5.71563e+05,1.59531e+03,6.92165e-19
32681630262.9,4.017,5.71707e+05,1.59492e+03,6.91887e-19
32684071837.2,4.017,5.71851e+05,1.59453e+03,6.91610e-19
32686513411.6,4.018,5.71995e+05,1.59415e+03,6.91332e-19
32688954985.9,4.018,5.72139e+05,1.59376e+03,6.91055e-19
32691396560.3,4.018,5.72283e+05,1.59337e+03,6.90778e-19
32693838134.6,4.019,5.72427e+05,1.59299e+03,6.90501e-19
32696279709.0,4.019,5.72570e+05,1.59260e+03,6.90225e-19
32698721283.3,4.019,5.72714e+05,1.59222e+03,6.89949e-19
32701162857.7,4.019,5.72858e+05,1.59183e+03,6.89673e-19
32703604432.0,4.020,5.73001e+05,1.59145e+03,6.89397e-19
32706046006.4,4.020,5.73145e+05,1.59106e+03,6.89122e-19
32708487580.7,4.020,5.73288e+05,1.59068e+03,6.88846e-19
32710929155.1,4.021,5.73432e+05,1.59030e+03,6.88571e-19
32713370729.4,4.021,5.73575e+05,1.58991e+03,6.88296e-19
32715812303.8,4.021,5.73718e+05,1.58953e+03,6.88022e-19
32718253878.2,4.022,5.73861e+05,1.58915e+03,6.87748e-19
32720695452.5,4.022,5.74004e+05,1.58876e+03,6.87474e-19
32723137026.9,4.022,5.74147e+05,1.58838e+03,6.87200e-19
32725578601.2,4.022,5.74290e+05,1.58800e+03,6.86926e-19
32728020175.6,4.023,5.74433e+05,1.58762e+03,6.86653e-19
32730461749.9,4.023,5.74576e+05,1.58724e+03,6.86380e-19
32732903324.3,4.023,5.74719e+05,1.58685e+03,6.86107e-19
32735344898.6,4.024,5.74862e+05,1.58647e+03,6.85834e-19
32737786473.0,4.024,5.75004e+05,1.58609e+03,6.85562e-19
32740228047.3,4.024,5.75147e+05,1.58571e+03,6.85289e-19
32742669621.7,4.025,5.75290e+05,1.58533e+03,6.85017e-19
32752304950.9,4.026,5.75851e+05,1.58384e+03,6.83946e-19
32761940280.2,4.027,5.76412e+05,1.58234e+03,6.82880e-19
32771575609.4,4.028,5.76971e+05,1.58085e+03,6.81816e-19
32781210938.7,4.029,5.77529e+05,1.57937e+03,6.80757e-19
32790846267.9,4.030,5.78086e+05,1.57789e+03,6.79702e-19
32800481597.2,4.032,5.78641e+05,1.57642e+03,6.78652e-19
32810116926.5,4.033,5.79194e+05,1.57495e+03,6.77605e-19
32819752255.7,4.034,5.79745e+05,1.57349e+03,6.76564e-19
32829387585.0,4.035,5.80294e+05,1.57204e+03,6.75527e-19
32839022914.2,4.036,5.80840e+05,1.57059e+03,6.74496e-19
32848658243.5,4.038,5.81382e+05,1.56915e+03,6.73472e-19
32858293572.7,4.039,5.81921e+05,1.56772e+03,6.72453e-19
