#nspecies: 1
#vars: r,rho,v,T,Ys_HI,Ncol_HI,q,z
#scales: 1.00000000000000000e+10,1.00000000000000008e-15,9.08356129930352559e+05,1.00000000000000000e+04,1.00000000000000000e+00,1.00000000000000000e+17,1.00000000000000000e+00,1.00000000000000000e+10
#plnt_prms: 1.32999999999999993e+30,1.00000000000000000e+10,1.98841600000000008e+33,7.48000000000000000e+11,1.09571297712599994e+03,6.80741999999999991e+33
#phys_prms: 1.00000000000000000e+00,HI,1.67330000000000013e-24,2.29999999999999982e+00
#bcs: 1.05725767581200003e+00,6.92821881909199977e+00,1.81617554554700000e+04,1.53482091851600000e-01,1.00000000000000000e+00,1.18376601209300006e-01,3.12502343845100000e-04,1.02946359753499993e-04
#tech: 1.00000000000000000e+00,1.00000000000000000e+02,2.50000000000000000e+00,9.89999999999999991e-01 
#flags: 1,1.00000,1.00000,1 
#add_prms: 0
#spec_prms: 59,1,2009-01-01,scaled-solar,full,5.99999999999999946e-08,9.11999999999999908e-06,5.99999999999999946e-08,9.11999999999999908e-06,5.99999999999999946e-08,9.11999999999999908e-06,2.17896099200000002e-11
# $hc/\lambda_i$, $w_i\Phi_{\lambda_i}/F_{tot}$, $\sigma_{\lambda_i,HI}$
## 2.14987807364942771e-09,1.77091858523965674e+06,4.25793655006500015e-24
## 9.61106134573369658e-10,1.02878964474762008e+07,6.23122128184504585e-23
## 4.94608757554403367e-10,3.67547886211590692e+07,5.47039521131898536e-22
## 3.01006607346919125e-10,1.17181583729475453e+08,2.68998839588870599e-21
## 2.07206099304089124e-10,1.56741269044000179e+08,8.72612581219755106e-21
## 1.56251022454355950e-10,8.38961877362068146e+07,2.09575159460715549e-20
## 1.26520064694998861e-10,3.46159084546684265e+08,4.00279432796035386e-20
## 1.08645216546127141e-10,9.61640633679677963e+08,6.35596237068802952e-20
## 9.81777901111045163e-11,4.11611577306109965e+08,8.62569096537809456e-20
## 9.29287863614583528e-11,1.41095722667876869e+08,1.01716504664393197e-19
## 9.09980785346591729e-11,4.05639472800232470e+07,1.08314611989376259e-19
## 8.96205955236234199e-11,9.34752129370855838e+07,1.13369478133228250e-19
## 8.73078047247450785e-11,1.45360502424941063e+08,1.22576749350185496e-19
## 8.43011650935915211e-11,1.94662087602347583e+08,1.36074822829647123e-19
## 8.08762810725767895e-11,2.36429245545443952e+08,1.53938380887324283e-19
## 7.72962372497597281e-11,2.52765300773392051e+08,1.76062402967569832e-19
## 7.37817741860174029e-11,1.93137421408658445e+08,2.02038273289105700e-19
## 7.04996022429732852e-11,3.14166048055729330e+08,2.31050749284842205e-19
## 6.75642827840512221e-11,1.02516039203461671e+09,2.61826399474836663e-19
## 6.50474393922009528e-11,1.26619225094794750e+09,2.92659304701219130e-19
## 6.29892388646731360e-11,6.99180299471373439e+08,3.21526577653776302e-19
## 6.14091050708452841e-11,2.45692689544154435e+08,3.46286919001343902e-19
## 6.03143205082259938e-11,8.33287935978241116e+07,3.64934980468137592e-19
## 5.97060663280159358e-11,2.80430747450265810e+07,3.75870871544122598e-19
## 5.87553564320472199e-11,1.31115613752516076e+08,3.93846866795489048e-19
## 5.63176431149758325e-11,4.11932260813093007e+08,4.45431731728557363e-19
## 5.27766002102266920e-11,3.82968239569325924e+08,5.37521414370738911e-19
## 4.90480854577426943e-11,1.08013114276688129e+08,6.63783709770296830e-19
## 4.58116260623238098e-11,1.40596505452419370e+08,8.07169951958265270e-19
## 4.34407009388161560e-11,1.54000661289791167e+08,9.39274647141040056e-19
## 4.20935896350337335e-11,9.18298568328818381e+07,1.02728553869597537e-18
## 4.14270345325281183e-11,7.83686885984750241e+07,1.07489460833583596e-18
## 4.04097580915177396e-11,2.00694556732806236e+08,1.15335785292942189e-18
## 3.89208400061050453e-11,2.20288550471221179e+08,1.28249629381917546e-18
## 3.73660295885385513e-11,1.47137272964700997e+08,1.43865910043392869e-18
## 3.60894168669384546e-11,2.41039970456241786e+08,1.58629129152969639e-18
## 3.53149421338729606e-11,1.19049186160425767e+08,1.68577376572931428e-18
## 3.49513436836332264e-11,7.46205385037596375e+07,1.73534400730410705e-18
## 3.44896290628050267e-11,2.04171979215645760e+08,1.80112144809172128e-18
## 3.37508190056268646e-11,3.23973129286543012e+08,1.91344385179483268e-18
## 3.28626153638998745e-11,2.74287302508638859e+08,2.06115139131590293e-18
## 3.19606195211275799e-11,4.79590671333141983e+08,2.22708368687720361e-18
## 3.11630272475294635e-11,3.42686046614867210e+08,2.38893626714040334e-18
## 3.05586149871312709e-11,7.27904271149230450e+07,2.52216308240055359e-18
## 3.02050780008262052e-11,1.45268992818523310e+07,2.60470103278948076e-18
## 2.99055425912248695e-11,3.01442299436764717e+07,2.67746825931279024e-18
## 2.92340675901749049e-11,1.21038506125728607e+08,2.85071408280105570e-18
## 2.82097559565517632e-11,3.22176730200809419e+08,3.14495274472444279e-18
## 2.70633169078825499e-11,2.06816733888625890e+08,3.52430831588244960e-18
## 2.60064209687396050e-11,6.29366743842920899e+08,3.93002613772255574e-18
## 2.51926576627569443e-11,5.75608928988435388e+08,4.28589340501735731e-18
## 2.47144528953154852e-11,1.85292538075680286e+08,4.51527165753020587e-18
## 2.44901513069173570e-11,1.27785378332836881e+08,4.62851913419129321e-18
## 2.41715809731057383e-11,4.09514983110934258e+08,4.79597348405856591e-18
## 2.36735775030492151e-11,8.88974825112975955e+08,5.07434132046943878e-18
## 2.30982262911462724e-11,9.41782013356489301e+08,5.42348438899813511e-18
## 2.25501776476107371e-11,1.10964686664239836e+09,5.78655568445668292e-18
## 2.21161445907484058e-11,1.14217673417929673e+09,6.09748995228607669e-18
## 2.18560153265489689e-11,6.48343602592212319e+08,6.29461320707056903e-18
1.05725767581200003e+00,1.81617554554700000e+04,5.44232243972649439e-06,1.53482091851600000e-01,1.00000000000000000e+00,7.91260198626972033e+03,0.00000000000000000e+00,2.51611896868250273e+00 
1.05750928770886832e+00,1.75269354713817047e+04,5.63675752439406222e-06,1.53442176388727175e-01,9.99989017566427663e-01,7.64428040880677963e+03,1.00000000000000005e-04,2.51611896868250273e+00 
1.05776089960573660e+00,1.69069082019517409e+04,5.84069384921550283e-06,1.53479388509497466e-01,9.99999024159038075e-01,7.38539339153319270e+03,2.00000000000000010e-04,2.51611896868250273e+00 
1.05801251150260489e+00,1.63162344614204703e+04,6.04925715223573884e-06,1.53442402407577283e-01,9.99988948112326970e-01,7.13560890358926736e+03,2.99999999999999974e-04,2.51611896868250273e+00 
1.05826412339947296e+00,1.57398507825586748e+04,6.26779477260905018e-06,1.53476631892520893e-01,9.99998025722949602e-01,6.89459892684006172e+03,4.00000000000000019e-04,2.51611896868250273e+00 
1.05851573529634124e+00,1.51902162330784231e+04,6.49149710682049700e-06,1.53442544085113708e-01,9.99988819696866149e-01,6.66205480309826908e+03,5.00000000000000010e-04,2.51611896868250273e+00 
1.05876734719320953e+00,1.46543648423780360e+04,6.72566632544533389e-06,1.53473827498314702e-01,9.99997003019570174e-01,6.43767189431804854e+03,6.00000000000000164e-04,2.51611896868250273e+00 
1.05901895909007782e+00,1.41428852563226010e+04,6.96558895193275872e-06,1.53442589436208698e-01,9.99988628122841283e-01,6.22116323880238997e+03,6.99999999999999993e-04,2.51611896868250273e+00 
1.05927057098694610e+00,1.36446778616366828e+04,7.21649250658875057e-06,1.53470981211440455e-01,9.99995953981230534e-01,6.01224590279129370e+03,8.00000000000000038e-04,2.51611896868250273e+00 
1.05952218288381439e+00,1.31686755006353742e+04,7.47379183553602918e-06,1.53442526515326583e-01,9.99988368841711384e-01,5.81065306775327554e+03,8.99999999999999867e-04,2.51611896868250273e+00 
1.05977379478068245e+00,1.27054308300192970e+04,7.74261004800391352e-06,1.53468099114689810e-01,9.99994876154652435e-01,5.61612194858342355e+03,1.00000000000000002e-03,2.51611896868250273e+00 
1.06002540667755074e+00,1.22624193100853245e+04,8.01852264577046821e-06,1.53442343543558818e-01,9.99988037036756983e-01,5.42840443041483559e+03,1.10000000000000007e-03,2.51611896868250273e+00 
1.06027701857441903e+00,1.18316482934933374e+04,8.30651892667946553e-06,1.53465187216788729e-01,9.99993766727251265e-01,5.24725643253651833e+03,1.19999999999999989e-03,2.51611896868250273e+00 
1.06052863047128731e+00,1.14193185636822236e+04,8.60236685349720065e-06,1.53442028996191110e-01,9.99987627734530204e-01,5.07244720969213813e+03,1.29999999999999994e-03,2.51611896868250273e+00 
1.06078024236815560e+00,1.10187105952329402e+04,8.91089358111441806e-06,1.53462251104069886e-01,9.99992622565347600e-01,4.90375004455543603e+03,1.40000000000000020e-03,2.51611896868250273e+00 
1.06103185426502389e+00,1.06349179493034353e+04,9.22809008704099718e-06,1.53441571652955355e-01,9.99987135930235360e-01,4.74095032510374676e+03,1.50000000000000003e-03,2.51611896868250273e+00 
1.06128346616189195e+00,1.02623281458756101e+04,9.55859487792599611e-06,1.53459295533025786e-01,9.99991440257860797e-01,4.58383745215284489e+03,1.60000000000000008e-03,2.51611896868250273e+00 
1.06153507805876024e+00,9.90508019282557871e+03,9.89865048815319242e-06,1.53440960617512362e-01,9.99986556711738972e-01,4.43221180100332094e+03,1.69999999999999991e-03,2.51611896868250273e+00 
1.06178668995562853e+00,9.55851757124962933e+03,1.02526828776519551e-05,1.53456323988147292e-01,9.99990216158318512e-01,4.28587773423393446e+03,1.79999999999999995e-03,2.51611896868250273e+00 
1.06203830185249681e+00,9.22596309660467705e+03,1.06172119017735398e-05,1.53440185314877547e-01,9.99985885368174232e-01,4.14464955232795819e+03,1.90000000000000000e-03,2.51611896868250273e+00 
1.06228991374936510e+00,8.90357959780360034e+03,1.09964304526786007e-05,1.53453338234302211e-01,9.99988946418488234e-01,4.00834550574562263e+03,2.00000000000000004e-03,2.51611896868250273e+00 
1.06254152564623339e+00,8.59399825303048419e+03,1.13871579558570576e-05,1.53439235475431812e-01,9.99985117472107388e-01,3.87679283555776647e+03,2.10000000000000030e-03,2.51611896868250273e+00 
1.06279313754310145e+00,8.29407854716894144e+03,1.17933378144156488e-05,1.53450337894968675e-01,9.99987627008282587e-01,3.74982268284998418e+03,2.20000000000000013e-03,2.51611896868250273e+00 
1.06304474943996974e+00,8.00587130946808338e+03,1.22121070913353022e-05,1.53438101112554515e-01,9.99984248928015296e-01,3.62727431644172702e+03,2.29999999999999996e-03,2.51611896868250273e+00 
1.06329636133683803e+00,7.72682332153582047e+03,1.26471480113768714e-05,1.53447320087364530e-01,9.99986253718268103e-01,3.50899084199513254e+03,2.39999999999999979e-03,2.51611896868250273e+00 
1.06354797323370631e+00,7.45850367047953114e+03,1.30959286062490828e-05,1.53436772498979135e-01,9.99983275983333919e-01,3.39482270960908318e+03,2.50000000000000005e-03,2.51611896868250273e+00 
1.06379958513057460e+00,7.19884977081685611e+03,1.35618634647664803e-05,1.53444279143730711e-01,9.99984822142474084e-01,3.28462412967890987e+03,2.60000000000000031e-03,2.51611896868250273e+00 
1.06405119702744289e+00,6.94903553184471821e+03,1.40427597823362675e-05,1.53435240146034046e-01,9.99982195200777246e-01,3.17825594847297225e+03,2.70000000000000014e-03,2.51611896868250273e+00 
1.06430280892431095e+00,6.70740434096449462e+03,1.45417636135962954e-05,1.53441206445561279e-01,9.99983327639860753e-01,3.07558268286043813e+03,2.79999999999999997e-03,2.51611896868250273e+00 
