#nspecies: 2
#vars: r,rho,v,T,Ys_HI,Ys_HeI,Ncol_HI,Ncol_HeI,q,z
#scales: 1.00000000000000000e+10,1.00000000000000008e-15,9.08356129930352559e+05,1.00000000000000000e+04,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+17,1.00000000000000000e+17,1.00000000000000000e+00,1.00000000000000000e+10
#plnt_prms: 1.32999999999999993e+30,1.00000000000000000e+10,1.98841600000000008e+33,7.48000000000000000e+11,1.01028580090800006e+03,6.80741999999999991e+33
#phys_prms: 8.00012634901499986e-01,1.99987365098499986e-01,HI,HeI,1.67330000000000013e-24,6.64647907219800005e-24,2.29999999999999982e+00
#bcs: 1.05669589748099990e+00,6.38144606815200000e+00,2.13577022609099986e+04,1.53482091851600000e-01,1.00000000000000000e+00,1.00000000000000000e+00,1.67433992152999991e-02,4.02118649988600016e-03,1.03582095179000002e-04,2.51812377769699983e-04
#tech: 1.00000000000000000e+00,1.00000000000000000e+02,2.50000000000000000e+00,9.89999999999999991e-01 
#flags: 1,1.00000,1.00000,1 
#add_prms: 0
#spec_prms: 66,2,2009-01-01,scaled-solar,full,1.23984254740273372e-06,9.11648931913774851e-06,1.23984254740273372e-06,9.11648931913774851e-06,1.23984254740273372e-06,9.11648931913774851e-06,2.17896099200000002e-11,3.93975373479999963e-11
# $hc/\lambda_i$, $w_i\Phi_{\lambda_i}/F_{tot}$, $\sigma_{\lambda_i,HI}$, $\sigma_{\lambda_i,HeI}$
## 1.55850644001887181e-10,1.32349110489345193e+07,2.11239197634195690e-20,4.23492635593034969e-19
## 1.42246399442436209e-10,6.10835728203859106e+07,2.79739378953399459e-20,5.36200326161726027e-19
## 1.24271151705418954e-10,4.15380938390884757e+08,4.22763801210180487e-20,7.51134508075186215e-19
## 1.07181962518274750e-10,1.24714445135378122e+09,6.62179925014535062e-20,1.06772282201519887e-18
## 9.34069655626106189e-11,6.17199928804008484e+08,1.00164428782766169e-19,1.45613841592451279e-18
## 8.34108505747057532e-11,5.61020111474222898e+08,1.40444300202683949e-19,1.85768306778969566e-18
## 7.68892879646278909e-11,3.86930957557471991e+08,1.78836185885847918e-19,2.19988829562782116e-18
## 7.34248449341680058e-11,1.24342540607798442e+08,2.04951888707290798e-19,2.41586795535052997e-18
## 7.22703172821232039e-11,1.43802216307486892e+07,2.14763858768947476e-19,2.49407843608310539e-18
## 7.18664191202924050e-11,3.58929808341160864e+07,2.18342309011507408e-19,2.52223599993266150e-18
## 7.11584061987342656e-11,7.07355203416844904e+07,2.24806996546794707e-19,2.57262820820587631e-18
## 7.01761952487203026e-11,1.45874373112060964e+08,2.34199515799335366e-19,2.64479169384367167e-18
## 6.89594423062391824e-11,3.09116736195565999e+08,2.46565537488725464e-19,2.73800132846184528e-18
## 6.75540539571862458e-11,6.25461623700237393e+08,2.61942822394899266e-19,2.85124173450757217e-18
## 6.60087231198635950e-11,9.40012903122465372e+08,2.80345147579701551e-19,2.98316915460147882e-18
## 6.43718115136154270e-11,9.99604611922316194e+08,3.01743985573558086e-19,3.13207695566142931e-18
## 6.26888597033074330e-11,6.45461198415095806e+08,3.26049234339349933e-19,3.29587118375938648e-18
## 6.10008531742622598e-11,2.73467639228669882e+08,3.53090527121140322e-19,3.47206170353049823e-18
## 5.93432355904450354e-11,1.37067057425570518e+08,3.82600857075901609e-19,3.65777359709903813e-18
## 5.77455657278656762e-11,1.77985957774590254e+08,4.14204333045101498e-19,3.84978208267994183e-18
## 5.62316671506264056e-11,2.17338244414567053e+08,4.47409792684504554e-19,4.04457202829540513e-18
## 5.48201112361504721e-11,2.21943834436724216e+08,4.81611715638030792e-19,4.23842029463173728e-18
## 5.35248912166423755e-11,1.73861248235106021e+08,5.16099407647573928e-19,4.42749613853841265e-18
## 5.23561744387968928e-11,1.04140500979284227e+08,5.50074798668677988e-19,4.60797246826033093e-18
## 5.13210522375534087e-11,5.47467167467982098e+07,5.82678469909606034e-19,4.77613951116806901e-18
## 5.04242357181595657e-11,3.29833234557888955e+07,6.13022768461987365e-19,4.92851273255362150e-18
## 4.96686686250700238e-11,2.39738694874968268e+07,6.40230163753482798e-19,5.06192847691861550e-18
## 4.90560447828645604e-11,1.83548358737469465e+07,6.63474426438164381e-19,5.17362328903113639e-18
## 4.85872277405612241e-11,1.31938155122359488e+07,6.82021844432595975e-19,5.26129560991090347e-18
## 4.82625731421278552e-11,8.33964490868949238e+06,6.95269674427023596e-19,5.32315139097739769e-18
## 4.80821135663330469e-11,3.58546257594662532e+06,7.02780966665662440e-19,5.35794505672741544e-18
## 4.73293839092666874e-11,5.53607637819408849e+07,7.35296481056303778e-19,5.50631047656830507e-18
## 4.51347414168311031e-11,1.61551119902916044e+08,8.42229555701231126e-19,5.97023177972010920e-18
## 4.22648395965655138e-11,3.51970155489806235e+08,1.01550694446333346e-18,6.65401024247637797e-18
## 3.97380852679825200e-11,3.96466339341295242e+08,1.20937050717675053e-18,7.33652478716678642e-18
## 3.81794014500082067e-11,1.04806738860781819e+08,1.35400048669595812e-18,0.00000000000000000e+00
## 3.75462960401711700e-11,4.78325171950119808e+07,1.41930304154220289e-18,0.00000000000000000e+00
## 3.68287552147020521e-11,1.52434651572755337e+08,1.49846844003727429e-18,0.00000000000000000e+00
## 3.57639778912580193e-11,3.08307681231282711e+08,1.62711805285386252e-18,0.00000000000000000e+00
## 3.46331924377839774e-11,3.62811338324401677e+08,1.78031922266426472e-18,0.00000000000000000e+00
## 3.36899595161037603e-11,3.37903546486939609e+08,1.92310697203107089e-18,0.00000000000000000e+00
## 3.31111086505871442e-11,1.21743294528738126e+08,2.01834274890382482e-18,0.00000000000000000e+00
## 3.28517125917735740e-11,5.46706634448073953e+07,2.06305717472764498e-18,0.00000000000000000e+00
## 3.25866922416021030e-11,1.35095043727206349e+08,2.11011187277639238e-18,0.00000000000000000e+00
## 3.21373811816875707e-11,2.85796382340627491e+08,2.19320268408708896e-18,0.00000000000000000e+00
## 3.15456679465701784e-11,4.35554901040226817e+08,2.30940188375540720e-18,0.00000000000000000e+00
## 3.08625804598391250e-11,2.34362501614190936e+08,2.45395937641336006e-18,0.00000000000000000e+00
## 3.01411798518181686e-11,5.10882261762710437e+07,2.62000105046525810e-18,0.00000000000000000e+00
## 2.94309301255400926e-11,8.43773770463247597e+07,2.79841265660976035e-18,0.00000000000000000e+00
## 2.87741936023892711e-11,1.51531791153672367e+08,2.97806728401800854e-18,0.00000000000000000e+00
## 2.82047769061616538e-11,1.65906262805649132e+08,3.14647966448659507e-18,0.00000000000000000e+00
## 2.77479883197795588e-11,1.02238498516635805e+08,3.29087088682680541e-18,0.00000000000000000e+00
## 2.74215360981907384e-11,5.37467349103246629e+07,3.39951704600712765e-18,0.00000000000000000e+00
## 2.72366406371345907e-11,2.22028561465250477e+07,3.46317918434488055e-18,0.00000000000000000e+00
## 2.70654491849808524e-11,4.69365341587429792e+07,3.52354758378846632e-18,0.00000000000000000e+00
## 2.66993827993494884e-11,1.40919530957472771e+08,3.65742404051575292e-18,0.00000000000000000e+00
## 2.61141096934250918e-11,4.35001125395524561e+08,3.88592391677299444e-18,0.00000000000000000e+00
## 2.54112800994071490e-11,7.35637672874600649e+08,4.18619951027887028e-18,0.00000000000000000e+00
## 2.46984187330886536e-11,4.81670310522815764e+08,4.52324358451066211e-18,0.00000000000000000e+00
## 2.40688081672738666e-11,7.22843391347521067e+08,4.85171851250440097e-18,0.00000000000000000e+00
## 2.35921530234458867e-11,6.97615108289944649e+08,5.12189229057826772e-18,0.00000000000000000e+00
## 2.33135287302851239e-11,3.03075486179856420e+08,5.28918089188746610e-18,0.00000000000000000e+00
## 2.31146704096823618e-11,4.76329641403710127e+08,5.41306707099906848e-18,0.00000000000000000e+00
## 2.27287381249396090e-11,1.03694967532799482e+09,5.66478852736262919e-18,0.00000000000000000e+00
## 2.22441674510499530e-11,1.45840707316845441e+09,6.00350097450324436e-18,0.00000000000000000e+00
## 2.18865314932458693e-11,1.03790558585557675e+09,6.27105124397635674e-18,0.00000000000000000e+00
1.05669589748099990e+00,2.13577022609099986e+04,2.18085222771800799e-06,1.53482091851600000e-01,1.00000000000000000e+00,1.00000000000000000e+00,7.41678846170083762e+03,4.66642575167229893e+02,0.00000000000000000e+00,2.76235816649980714e+00 
1.05697213329764983e+00,2.05359192796798125e+04,2.26693725667644252e-06,1.53463038820008779e-01,1.00000000000000000e+00,1.00000000000000000e+00,7.14014466726509181e+03,4.49232172539286125e+02,1.00000000000000005e-04,2.76235816649980714e+00 
1.05724836911429976e+00,1.97414891153126773e+04,2.35692997582521617e-06,1.53481030870055601e-01,1.00000000000000000e+00,1.00000000000000000e+00,6.87417350796502615e+03,4.32493445468686105e+02,2.00000000000000010e-04,2.76235816649980714e+00 
1.05752460493094991e+00,1.89827881747074789e+04,2.44985052663579430e-06,1.53462559852232727e-01,1.00000000000000000e+00,9.99999999999999889e-01,6.61845842265272586e+03,4.16400177942455002e+02,2.99999999999999974e-04,2.76235816649980714e+00 
1.05780084074759984e+00,1.82494538305763199e+04,2.54696382334288030e-06,1.53479896116864523e-01,9.99999999999999889e-01,9.99999999999999778e-01,6.37259596615174814e+03,4.00926979393005695e+02,4.00000000000000019e-04,2.76235816649980714e+00 
1.05807707656424976e+00,1.75489299628378940e+04,2.64725103168702035e-06,1.53462032101732232e-01,9.99999999999999556e-01,9.99999999999999223e-01,6.13620196718266834e+03,3.86049672243297209e+02,5.00000000000000010e-04,2.76235816649980714e+00 
1.05835331238089969e+00,1.68719387544631718e+04,2.75203500844028774e-06,1.53478683179937292e-01,9.99999999999998557e-01,9.99999999999997669e-01,5.90890436483757549e+03,3.71744841074877570e+02,6.00000000000000164e-04,2.76235816649980714e+00 
1.05862954819754984e+00,1.62250732595349727e+04,2.86026002108605271e-06,1.53461450286462187e-01,9.99999999999995892e-01,9.99999999999993450e-01,5.69034882699354421e+03,3.57990186219190377e+02,6.99999999999999993e-04,2.76235816649980714e+00 
1.05890578401419977e+00,1.56000463280825188e+04,2.97330588385886031e-06,1.53477387441681296e-01,9.99999999999988898e-01,9.99999999999981903e-01,5.48019220846011012e+03,3.44764112050213839e+02,8.00000000000000038e-04,2.76235816649980714e+00 
1.05918201983084970e+00,1.50026760052633290e+04,3.09008271159705948e-06,1.53460808565300061e-01,9.99999999999970690e-01,9.99999999999952260e-01,5.27810766873709781e+03,3.32046049067320951e+02,8.99999999999999867e-04,2.76235816649980714e+00 
1.05945825564749962e+00,1.44255785650656180e+04,3.21202568097474423e-06,1.53476004066859795e-01,9.99999999999925504e-01,9.99999999999878653e-01,5.08377870627037282e+03,3.19816078444929190e+02,1.00000000000000002e-03,2.76235816649980714e+00 
1.05973449146414977e+00,1.38738674220180674e+04,3.33801423114617979e-06,1.53460100490008272e-01,9.99999999999817257e-01,9.99999999999702571e-01,4.89690381146783056e+03,3.08055224867126185e+02,1.10000000000000007e-03,2.76235816649980714e+00 
1.06001072728079970e+00,1.33409814051091471e+04,3.46953663931773054e-06,1.53474527986931703e-01,9.99999999999567124e-01,9.99999999999295008e-01,4.71719103497189462e+03,2.96745114685326882e+02,1.19999999999999989e-03,2.76235816649980714e+00 
1.06028696309744963e+00,1.28313946422500558e+04,3.60544593542186784e-06,1.53459318955946472e-01,9.99999999999007350e-01,9.99999999998382960e-01,4.54436220917748506e+03,2.85868241596843575e+02,1.29999999999999994e-03,2.76235816649980714e+00 
1.06056319891409956e+00,1.23392935448768058e+04,3.74728051790557187e-06,1.53472953879853713e-01,9.99999999997794542e-01,9.99999999996406097e-01,4.37814801158446789e+03,2.75407655960088050e+02,1.40000000000000020e-03,2.76235816649980714e+00 
1.06083943473074971e+00,1.18685736298153715e+04,3.89387211345665077e-06,1.53458456152131523e-01,9.99999999995245470e-01,9.99999999992249533e-01,4.21829178564583617e+03,2.65347205257242251e+02,1.50000000000000003e-03,2.76235816649980714e+00 
1.06111567054739964e+00,1.14140993819154955e+04,4.04680550428534804e-06,1.53471276144158592e-01,9.99999999990043298e-01,9.99999999983761656e-01,4.06454506312188278e+03,2.55671252296446340e+02,1.60000000000000008e-03,2.76235816649980714e+00 
1.06139190636404956e+00,1.09792440438522335e+04,4.20489709763859775e-06,1.53457503511344462e-01,9.99999999979720222e-01,9.99999999966908137e-01,3.91667101290850360e+03,2.46364892261635958e+02,1.69999999999999991e-03,2.76235816649980714e+00 
1.06166814218069949e+00,1.05594857371559901e+04,4.36977353644293534e-06,1.53469488865961429e-01,9.99999999959780506e-01,9.99999999934330419e-01,3.77444038889833155e+03,2.37413697693747110e+02,1.79999999999999995e-03,2.76235816649980714e+00 
1.06194437799734964e+00,1.01577277251160504e+04,4.54024279275197761e-06,1.53456451661062615e-01,9.99999999922249194e-01,9.99999999872958623e-01,3.63763463348166852e+03,2.28803913807601361e+02,1.90000000000000000e-03,2.76235816649980714e+00 
1.06222061381399957e+00,9.77000204893339833e+03,4.71796805173424269e-06,1.53467585777387228e-01,9.99999999853339983e-01,9.99999999760167513e-01,3.50604221974815209e+03,2.20522228290695892e+02,2.00000000000000004e-03,2.76235816649980714e+00 
1.06249684963064950e+00,9.39879051047467146e+03,4.90175663754223444e-06,1.53455290376038500e-01,9.99999999729810907e-01,9.99999999557751318e-01,3.37946143460062785e+03,2.12555946456749894e+02,2.10000000000000030e-03,2.76235816649980714e+00 
1.06277308544729943e+00,9.04062375646326836e+03,5.09330217573425470e-06,1.53465560204776919e-01,9.99999999513427329e-01,9.99999999202747181e-01,3.25769708622349435e+03,2.04892784032350022e+02,2.20000000000000013e-03,2.76235816649980714e+00 
1.06304932126394935e+00,8.69760710516914151e+03,5.29142001099497087e-06,1.53454008533327940e-01,9.99999999142805240e-01,9.99999998593873118e-01,3.14056299018723439e+03,1.97521023618441063e+02,2.29999999999999996e-03,2.76235816649980714e+00 
1.06332555708059950e+00,8.36671861355404508e+03,5.49782736246664999e-06,1.53463405004934605e-01,9.99999998521798994e-01,9.99999997572160737e-01,3.02787901498521387e+03,1.90429328753150770e+02,2.39999999999999979e-03,2.76235816649980714e+00 
1.06360179289724943e+00,8.04972876433995134e+03,5.71135709409303351e-06,1.53452594070497300e-01,9.99999997503638105e-01,9.99999995894412463e-01,2.91947329311774683e+03,1.83606883065112470e+02,2.50000000000000005e-03,2.76235816649980714e+00 
1.06387802871389936e+00,7.74401569439120431e+03,5.93374249589602886e-06,1.53461112487688622e-01,9.99999995870382574e-01,9.99999993198720682e-01,2.81517957917603371e+03,1.77043224006336942e+02,2.60000000000000031e-03,2.76235816649980714e+00 
1.06415426453054929e+00,7.45105355576049078e+03,6.16384419612876170e-06,1.53451033947677062e-01,9.99999993308234414e-01,9.99999988962922748e-01,2.71483920666231870e+03,1.70728366003699932e+02,2.70000000000000014e-03,2.76235816649980714e+00 
1.06443050034719944e+00,7.16857687335673563e+03,6.40340346029556434e-06,1.53458674323368516e-01,9.99999989381135435e-01,9.99999982460097692e-01,2.61829873459463397e+03,1.64652652349793101e+02,2.79999999999999997e-03,2.76235816649980714e+00 
1.06470673616384937e+00,6.89779899600242061e+03,6.65131955138225542e-06,1.53449314114372959e-01,9.99999983508049861e-01,9.99999972720300501e-01,2.52541166972392421e+03,1.58806863589896381e+02,2.89999999999999980e-03,2.76235816649980714e+00 
1.06498297198049929e+00,6.63677058178875086e+03,6.90933318156036232e-06,1.53456081434890756e-01,9.99999974952794468e-01,9.99999958513667186e-01,2.43603637896133250e+03,1.53182086142215923e+02,3.00000000000000006e-03,2.76235816649980714e+00 
1.06525920779714922e+00,6.38647687420080001e+03,7.17639358292915473e-06,1.53447419482925007e-01,9.99999962837244016e-01,9.99999938373298147e-01,2.35003759567292855e+03,1.47769807095809853e+02,3.10000000000000076e-03,2.76235816649980714e+00 
1.06553544361379937e+00,6.14524766707888284e+03,7.45423212740042201e-06,1.53453323876155762e-01,9.99999946185507138e-01,9.99999910670468672e-01,2.26728457641286832e+03,1.42561798205798368e+02,3.20000000000000015e-03,2.76235816649980714e+00 
