x, y
1.028698346347781, 748.6292691898119
1.061278811263664, 609.1265574519332
1.0885138154763785, 535.1432922539593
1.128412130338845, 426.5318009480867
1.1760732323559249, 434.7766166880626
1.1760732323559249, 434.7766166880626
1.216035553548597, 659.8053356598815
1.234171094720565, 991.6860077868151
1.3023856857817395, 1581.4651603864247
1.3837731524515822, 2066.150824437961
1.4843774322793866, 2548.747372417884
1.5972000855489137, 2926.5800097705896
1.7402480193510401, 3342.6683774480402
2.00305428265009, 3890.5632219623426
2.286859593621945, 4378.32673584806
2.709131103710451, 5040.550765500411
3.214571693562962, 5588.556185017476
3.8937956841297963, 6154.150544779823
4.323067498196585, 6397.207820148684
4.788801170756564, 6575.954995973875
5.231880330947941, 6707.542469892634
5.815462707250271, 6795.4871711190435
6.334140179041656, 6818.133039039216
7.033025919974481, 6798.3454812632735
7.647407148098531, 6785.0437378484075
8.471652083131588, 6669.50627925784
9.045244500556432, 6602.448444572703
9.971874707090773, 6424.360424589223
