x, y
1.0514977152140337, 1020.6039375726259
1.0545227558280048, 1807.6934364382814
1.0577638707715453, 1457.6983501750042
1.063381803340349, 2531.638262144326
1.063381803340349, 3357.3031214099224
1.0671991164960746, 4684.02889368262
1.0808838240354681, 7629.34210367354
1.08369279031987, 13559.8647950905
1.1006906375793273, 21127.53470134845
1.1107741062925647, 32321.927815475006
1.141168561985323, 53810.7930354121
1.167961778851925, 75796.20748958628
1.200516977840377, 105806.3896341795
1.2569123778579832, 135777.9249151253
1.3287210800515377, 191953.5980054634
1.4116936226061765, 252803.86178100886
1.4876077370615493, 306258.9838546648
1.5761982121849916, 382737.0677086259
1.6997207039221491, 468244.23077838623
1.8279248061333098, 553622.3549643345
1.9723344830621734, 652442.6626583512
2.146346343142041, 759221.3530306211
2.357811087013933, 888939.5866536129
2.5284377825972135, 986373.1137573946
2.7622302071912737, 1109568.8759926492
2.992133293853086, 1224778.1772965905
3.1948830397656796, 1320803.0215099072
3.4128300135246525, 1425804.7544230875
3.685947966100339, 1543540.2444340577
4.054138623686548, 1701041.486752664
4.470441831990205, 1874105.9958101052
4.9803052249974, 2071644.687604403
5.451491313011676, 2259334.8859866736
6.032515185223717, 2482294.9556124187
6.702633705994863, 2727072.821768308
7.32852901398081, 2955262.2385512106
7.919060156693903, 3175966.481822259
8.685259729346896, 3454801.171951577
9.669478300535385, 3824130.45914922
10.0460958569748, 3974710.895797676
10.640804436726235, 4180497.3152112295
11.269436686220061, 4424732.034201402
12.036572580967853, 4692128.847920758
12.776267035860338, 4979057.537146182
13.287354850068425, 5171609.566355318
13.953872132013414, 5429054.537698599
14.538425218275087, 5668889.8843708895
14.885656665893068, 5813591.468248462
