Mp (Mj), Rp (Rj), Mdots (g/s), Rsp (Rp), RXUV (Rp), cond
5.20429e+29,6.28246e+09,1.81e+10,0.37,3.92,1.14,0
2.70955e+30,1.24055e+10,2.73e+09,0.34,4.23,1.10,0
6.63169e+29,6.28246e+09,1.22e+10,0.37,4.43,1.10,0
2.17008e+30,1.26606e+10,1.08e+10,0.34,3.71,1.10,0
9.64246e+29,1.16401e+10,6.32e+10,0.37,2.82,1.13,0
8.14462e+29,4.75171e+09,8.25e+08,0.34,7.13,1.10,0
4.79633e+28,1.94533e+09,1.96e+10,0.34,5.22,1.85,0
1.90889e+30,1.41914e+10,3.53e+10,0.34,3.06,1.10,0
4.67571e+29,3.47608e+09,1.34e+09,0.34,7.50,1.10,0
1.94321e+30,1.44465e+10,3.69e+10,0.34,3.02,1.10,0
5.90849e+29,9.08884e+09,5.33e+10,0.36,2.98,1.18,0
3.65709e+29,1.16401e+10,4.16e+11,0.29,2.81,1.63,0
3.73724e+29,1.18952e+10,4.56e+11,0.29,2.81,1.65,0
1.25687e+30,9.34397e+09,1.27e+10,0.34,3.99,1.10,0
1.67478e+29,6.79272e+09,2.62e+11,0.29,3.76,1.99,0
4.70421e+29,1.69021e+09,4.09e+05,0.34,18.34,1.10,0
1.51304e+29,2.96583e+09,8.56e+09,0.36,4.66,1.25,0
7.31244e+28,2.96583e+09,4.10e+10,0.34,4.61,1.83,0
1.87457e+30,1.39362e+10,3.37e+10,0.34,3.09,1.10,0
4.24891e+29,1.94533e+09,1.95e+07,0.34,14.83,1.10,0
6.19860e+29,1.21504e+10,1.41e+11,0.35,2.56,1.27,0
1.04878e+30,1.26606e+10,7.56e+10,0.36,2.70,1.13,0
2.27351e+29,1.69021e+09,2.86e+08,0.34,11.77,1.10,0
1.40014e+29,1.69021e+09,1.30e+09,0.37,8.12,1.13,0
3.57693e+29,1.13850e+10,3.87e+11,0.29,2.82,1.62,0
6.72578e+28,3.47608e+09,1.99e+11,0.29,5.98,2.86,0
7.76426e+29,5.77221e+09,4.13e+09,0.34,5.43,1.10,0
2.37521e+30,1.08747e+10,1.82e+09,0.34,4.62,1.10,0
7.31770e+29,8.83372e+09,3.66e+10,0.37,3.25,1.14,0
9.82854e+28,3.98634e+09,7.18e+10,0.33,4.20,1.85,0
1.08524e+29,2.71071e+09,1.15e+10,0.36,4.52,1.36,0
1.49289e+29,4.75171e+09,5.13e+10,0.35,3.67,1.53,0
1.46277e+30,1.08747e+10,1.83e+10,0.34,3.62,1.10,0
7.70732e+29,4.49659e+09,7.22e+08,0.34,7.39,1.10,0
3.91826e+29,6.02734e+09,2.38e+10,0.37,3.63,1.19,0
2.42412e+29,4.75171e+09,2.11e+10,0.36,3.77,1.25,0
5.95814e+29,3.47608e+09,3.93e+08,0.34,8.77,1.10,0
3.07490e+29,6.02734e+09,3.44e+10,0.36,3.41,1.26,0
3.43445e+29,8.57859e+09,1.04e+11,0.35,2.93,1.37,0
4.57026e+29,5.51709e+09,1.39e+10,0.37,4.21,1.14,0
1.61188e+29,6.53759e+09,2.33e+11,0.29,3.77,1.96,0
6.26099e+29,7.55809e+09,2.65e+10,0.37,3.54,1.14,0
2.77670e+28,1.43508e+09,3.05e+10,0.33,6.82,2.63,0
9.59407e+29,9.08884e+09,2.70e+10,0.37,3.55,1.10,0
1.32550e+30,9.85422e+09,1.44e+10,0.34,3.86,1.10,0
4.74753e+29,7.30297e+09,3.40e+10,0.36,3.31,1.18,0
2.10664e+29,5.26196e+09,3.93e+10,0.35,3.50,1.36,0
4.45585e+29,1.11298e+10,1.66e+11,0.34,2.62,1.37,0
2.95985e+29,2.20046e+09,5.00e+08,0.34,9.99,1.10,0
1.39030e+30,1.31709e+10,6.05e+10,0.37,2.86,1.11,0
2.20804e+30,1.01093e+10,1.46e+09,0.34,4.86,1.10,0
1.49802e+30,1.41914e+10,7.13e+10,0.37,2.74,1.11,0
6.68368e+29,8.06834e+09,3.03e+10,0.37,3.42,1.14,0
6.89502e+29,8.32347e+09,3.23e+10,0.37,3.36,1.14,0
9.32477e+29,8.83372e+09,2.54e+10,0.37,3.61,1.10,0
9.45650e+29,5.51709e+09,1.19e+09,0.34,6.45,1.10,0
1.89367e+29,6.02734e+09,8.09e+10,0.34,3.38,1.53,0
3.01584e+29,9.59910e+09,2.42e+11,0.30,2.92,1.58,0
5.70523e+29,4.24146e+09,2.07e+09,0.34,6.61,1.10,0
1.28258e+30,1.21504e+10,5.07e+10,0.37,2.99,1.11,0
3.33521e+29,6.53759e+09,4.05e+10,0.36,3.30,1.26,0
5.27297e+29,1.31709e+10,2.59e+11,0.33,2.45,1.40,0
3.15534e+30,1.44465e+10,4.47e+09,0.34,3.81,1.10,0
1.73278e+30,1.01093e+10,5.74e+09,0.34,4.31,1.10,0
7.10636e+29,8.57859e+09,3.44e+10,0.37,3.30,1.14,0
3.09087e+29,3.73121e+09,6.24e+09,0.37,5.25,1.13,0
1.56572e+30,1.16401e+10,2.16e+10,0.34,3.47,1.10,0
1.33258e+29,4.24146e+09,4.12e+10,0.35,3.81,1.52,0
1.55786e+30,9.08884e+09,4.30e+09,0.34,4.63,1.10,0
1.00651e+30,1.21504e+10,6.92e+10,0.36,2.76,1.13,0
5.36206e+29,3.98634e+09,1.81e+09,0.34,6.87,1.10,0
4.99295e+29,6.02734e+09,1.66e+10,0.37,4.01,1.14,0
1.16430e+30,6.79272e+09,2.00e+09,0.34,5.62,1.10,0
3.94515e+29,9.85422e+09,1.41e+11,0.34,2.79,1.38,0
6.90361e+29,1.06196e+10,7.47e+10,0.36,2.78,1.19,0
6.04840e+29,4.49659e+09,2.36e+09,0.34,6.37,1.10,0
1.28952e+29,3.22096e+09,1.55e+10,0.35,4.22,1.35,0
1.65320e+29,5.26196e+09,6.07e+10,0.35,3.53,1.51,0
1.35982e+30,1.01093e+10,1.53e+10,0.34,3.80,1.10,0
4.72397e+28,1.17996e+09,2.30e+09,0.33,6.30,1.36,0
1.24555e+29,1.17996e+09,3.88e+08,0.36,11.82,1.10,0
3.40000e+29,3.22096e+09,3.10e+09,0.37,6.60,1.10,0
5.73851e+28,2.96583e+09,1.28e+11,0.29,5.98,2.71,0
4.05786e+29,1.29157e+10,6.58e+11,0.29,2.80,1.72,0
9.39139e+29,1.44465e+10,1.38e+11,0.36,2.43,1.18,0
2.08262e+30,1.21504e+10,9.59e+09,0.34,3.81,1.10,0
4.11613e+29,8.06834e+09,5.97e+10,0.36,3.01,1.25,0
5.67798e+29,1.11298e+10,1.16e+11,0.35,2.65,1.26,0
1.38295e+30,8.06834e+09,3.13e+09,0.34,5.01,1.10,0
2.42559e+29,3.73121e+09,9.05e+09,0.36,4.63,1.18,0
1.23447e+29,5.00684e+09,1.18e+11,0.32,3.87,1.90,0
1.01196e+29,3.22096e+09,2.48e+10,0.35,4.16,1.52,0
3.23017e+29,8.06834e+09,9.42e+10,0.35,3.01,1.38,0
3.30303e+29,2.45558e+09,6.32e+08,0.34,9.33,1.10,0
1.43048e+29,2.20046e+09,3.25e+09,0.37,6.06,1.19,0
8.58575e+29,1.03645e+10,4.94e+10,0.37,2.99,1.13,0
1.81351e+29,5.77221e+09,7.38e+10,0.34,3.43,1.52,0
3.93862e+29,3.73121e+09,4.22e+09,0.37,6.05,1.11,0
1.42845e+30,1.06196e+10,1.73e+10,0.34,3.68,1.10,0
1.51413e+30,8.83372e+09,3.98e+09,0.34,4.71,1.10,0
1.20803e+30,7.04784e+09,2.20e+09,0.34,5.48,1.10,0
6.06845e+29,1.18952e+10,1.34e+11,0.35,2.58,1.26,0
2.59144e+29,3.98634e+09,1.03e+10,0.37,4.47,1.18,0
1.25565e+30,1.18952e+10,4.84e+10,0.37,3.03,1.10,0
2.59208e+29,2.45558e+09,1.76e+09,0.37,7.75,1.10,0
1.69808e+29,4.24146e+09,2.65e+10,0.35,3.80,1.36,0
9.00844e+29,1.08747e+10,5.47e+10,0.37,2.92,1.13,0
4.37644e+29,8.57859e+09,6.70e+10,0.36,2.94,1.25,0
8.45060e+29,6.28246e+09,5.02e+09,0.34,5.14,1.10,0
4.78160e+29,5.77221e+09,1.52e+10,0.37,4.11,1.14,0
2.65383e+30,1.21504e+10,2.56e+09,0.34,4.29,1.10,0
1.93034e+29,1.43508e+09,2.02e+08,0.34,13.02,1.10,0
4.76690e+29,9.34397e+09,7.98e+10,0.36,2.84,1.25,0
5.93829e+29,1.16401e+10,1.27e+11,0.35,2.60,1.26,0
1.36337e+30,1.29157e+10,5.79e+10,0.37,2.89,1.11,0
5.80814e+29,1.13850e+10,1.22e+11,0.35,2.62,1.26,0
4.86441e+29,1.21504e+10,2.10e+11,0.34,2.54,1.38,0
1.59594e+29,3.98634e+09,2.34e+10,0.35,3.89,1.36,0
8.79377e+29,6.53759e+09,5.50e+09,0.34,5.02,1.10,0
5.42536e+28,2.20046e+09,2.39e+10,0.34,5.02,1.83,0
4.35892e+29,5.26196e+09,1.26e+10,0.37,4.32,1.13,0
9.77455e+28,1.17996e+09,6.36e+08,0.36,9.84,1.13,0
1.01665e+30,7.55809e+09,7.69e+09,0.34,4.57,1.10,0
4.21817e+29,1.34260e+10,7.47e+11,0.28,2.74,1.74,0
1.15391e+30,8.57859e+09,1.04e+10,0.34,4.22,1.10,0
9.86338e+29,9.34397e+09,2.86e+10,0.37,3.49,1.10,0
4.89706e+29,9.59910e+09,8.45e+10,0.36,2.81,1.25,0
4.35371e+29,1.08747e+10,1.66e+11,0.34,2.66,1.37,0
5.52085e+29,3.22096e+09,3.29e+08,0.34,9.23,1.10,0
1.97382e+29,6.28246e+09,8.77e+10,0.34,3.33,1.53,0
7.56702e+29,1.16401e+10,9.07e+10,0.36,2.67,1.19,0
2.17904e+28,1.43508e+09,2.84e+11,0.29,15.65,7.01,0
3.33437e+29,1.94533e+09,1.03e+08,0.34,12.90,1.10,0
6.23214e+28,3.22096e+09,1.60e+11,0.29,5.98,2.78,0
9.01921e+29,5.26196e+09,1.06e+09,0.34,6.66,1.10,0
2.69522e+29,8.57859e+09,1.72e+11,0.33,2.97,1.56,0
1.42667e+30,8.32347e+09,3.40e+09,0.34,4.90,1.10,0
8.72798e+29,1.34260e+10,1.22e+11,0.36,2.51,1.20,0
3.85582e+29,7.55809e+09,5.40e+10,0.36,3.10,1.26,0
3.63873e+29,9.08884e+09,1.18e+11,0.35,2.88,1.37,0
6.04965e+29,7.30297e+09,2.47e+10,0.37,3.61,1.14,0
4.24629e+29,8.32347e+09,6.37e+10,0.36,2.98,1.25,0
4.74654e+29,4.49659e+09,6.24e+09,0.37,5.41,1.11,0
1.37219e+30,6.28246e+09,3.91e+08,0.34,6.71,1.10,0
2.05347e+29,1.94533e+09,1.08e+09,0.37,8.89,1.10,0
