Mp (Mj), Rp (Rj), Mdots (g/s), Rsp (Rp), RXUV (Rp), cond
9.82125e+29,4.49659e+09,1.66e+08,0.34,8.41,1.10,0
2.48666e+30,1.13850e+10,2.09e+09,0.34,4.48,1.10,0
1.79166e+28,1.17996e+09,1.87e+11,0.30,14.32,6.64,0
1.33922e+30,7.81322e+09,2.88e+09,0.34,5.12,1.10,0
7.21941e+28,3.73121e+09,2.26e+11,0.29,5.86,2.85,0
3.70718e+28,1.17996e+09,4.10e+09,0.32,5.87,1.53,0
6.73474e+29,5.00684e+09,3.00e+09,0.34,5.95,1.10,0
2.26376e+30,1.03645e+10,1.57e+09,0.34,4.78,1.10,0
1.09877e+29,1.69021e+09,1.91e+09,0.37,6.94,1.18,0
1.08528e+30,8.06834e+09,8.97e+09,0.34,4.38,1.10,0
4.80614e+29,2.20046e+09,2.70e+07,0.34,13.64,1.10,0
9.26402e+29,4.24146e+09,1.43e+08,0.34,8.75,1.10,0
7.95173e+29,9.59910e+09,4.34e+10,0.37,3.11,1.14,0
2.37460e+29,7.55809e+09,1.27e+11,0.34,3.11,1.53,0
1.09105e+30,1.31709e+10,8.23e+10,0.36,2.65,1.14,0
8.89384e+29,1.36811e+10,1.27e+11,0.36,2.49,1.20,0
6.91340e+28,2.20046e+09,1.31e+10,0.35,4.78,1.54,0
3.74087e+29,9.34397e+09,1.22e+11,0.34,2.85,1.37,0
4.25760e+28,2.20046e+09,6.91e+10,0.32,6.01,2.72,0
3.53828e+28,1.43508e+09,1.15e+10,0.35,5.67,1.85,0
1.92942e+30,8.83372e+09,9.89e+08,0.34,5.33,1.10,0
2.43093e+30,1.11298e+10,1.95e+09,0.34,4.55,1.10,0
1.80022e+29,4.49659e+09,2.97e+10,0.35,3.72,1.37,0
5.31029e+28,1.69021e+09,7.84e+09,0.35,5.19,1.53,0
3.49678e+29,1.11298e+10,3.51e+11,0.30,2.82,1.60,0
1.06713e+30,1.01093e+10,3.40e+10,0.37,3.33,1.10,0
6.71922e+29,1.31709e+10,1.67e+11,0.35,2.48,1.27,0
2.43245e+30,1.41914e+10,1.50e+10,0.34,3.44,1.10,0
1.78416e+29,1.69021e+09,8.10e+08,0.37,9.64,1.10,0
1.25274e+29,2.45558e+09,5.88e+09,0.36,5.08,1.25,0
4.64626e+29,2.71071e+09,2.21e+08,0.34,10.35,1.10,0
2.68443e+29,5.26196e+09,2.59e+10,0.36,3.61,1.25,0
2.12635e+30,1.24055e+10,1.02e+10,0.34,3.76,1.10,0
1.10976e+30,2.45558e+09,6.36e+02,0.34,16.99,1.10,0
9.92427e+28,1.94533e+09,3.84e+09,0.36,5.66,1.26,0
6.68341e+28,2.71071e+09,3.58e+10,0.34,4.76,1.85,0
8.23043e+29,1.26606e+10,1.08e+11,0.36,2.57,1.19,0
6.83273e+29,3.98634e+09,5.42e+08,0.34,8.01,1.10,0
3.76397e+28,1.94533e+09,5.29e+10,0.32,6.25,2.65,0
6.58906e+29,1.29157e+10,1.61e+11,0.35,2.50,1.27,0
8.58191e+29,5.00684e+09,9.37e+08,0.34,6.88,1.10,0
1.64532e+30,9.59910e+09,4.99e+09,0.34,4.46,1.10,0
3.09961e+30,1.41914e+10,4.21e+09,0.34,3.86,1.10,0
1.09357e+30,5.00684e+09,2.18e+08,0.34,7.82,1.10,0
3.46536e+29,6.79272e+09,4.40e+10,0.36,3.25,1.26,0
4.13802e+29,1.31709e+10,6.76e+11,0.29,2.75,1.72,0
5.01585e+29,4.75171e+09,6.74e+09,0.37,5.25,1.10,0
6.47785e+29,2.96583e+09,5.82e+07,0.34,11.14,1.10,0
1.49709e+30,1.11298e+10,1.94e+10,0.34,3.57,1.10,0
2.87953e+29,3.47608e+09,5.42e+09,0.37,5.46,1.13,0
3.42071e+29,5.26196e+09,1.81e+10,0.37,3.89,1.19,0
5.15737e+29,1.01093e+10,9.42e+10,0.36,2.75,1.26,0
9.13694e+29,6.79272e+09,6.00e+09,0.34,4.89,1.10,0
8.79709e+29,1.06196e+10,5.20e+10,0.37,2.96,1.13,0
2.98817e+30,1.36811e+10,3.74e+09,0.34,3.96,1.10,0
7.78817e+28,1.94533e+09,5.90e+09,0.36,5.14,1.35,0
4.25157e+29,1.06196e+10,1.42e+11,0.35,2.64,1.36,0
4.14943e+29,1.03645e+10,1.58e+11,0.34,2.74,1.39,0
4.20793e+29,3.98634e+09,4.85e+09,0.37,5.81,1.11,0
1.42791e+30,6.53759e+09,4.34e+08,0.34,6.53,1.10,0
